decomposer,k,seed,layer_a,layer_b,component_a,component_b,abs_cosine
ica,16,0,13,16,0,2,0.6265884041786194
ica,16,0,13,16,1,5,0.3226480484008789
ica,16,0,13,16,2,0,0.3763401210308075
ica,16,0,13,16,3,12,0.5818488001823425
ica,16,0,13,16,4,1,0.6215469837188721
ica,16,0,13,16,5,6,0.6666154861450195
ica,16,0,13,16,6,14,0.5986979007720947
ica,16,0,13,16,7,4,0.5643883943557739
ica,16,0,13,16,8,9,0.6508325934410095
ica,16,0,13,16,9,10,0.4245721697807312
ica,16,0,13,16,10,11,0.6145724058151245
ica,16,0,13,16,11,7,0.17005020380020142
ica,16,0,13,16,12,15,0.28944939374923706
ica,16,0,13,16,13,13,0.505871057510376
ica,16,0,13,16,14,3,0.7125405669212341
ica,16,0,13,16,15,8,0.4881511330604553
ica,16,0,13,19,0,13,0.4880705773830414
ica,16,0,13,19,1,0,0.43666619062423706
ica,16,0,13,19,2,8,0.4521203637123108
ica,16,0,13,19,3,14,0.1915573924779892
ica,16,0,13,19,4,4,0.4609793424606323
ica,16,0,13,19,5,15,0.5350016355514526
ica,16,0,13,19,6,11,0.4065611660480499
ica,16,0,13,19,7,9,0.39814460277557373
ica,16,0,13,19,8,5,0.5681255459785461
ica,16,0,13,19,9,2,0.4316270649433136
ica,16,0,13,19,10,12,0.5945009589195251
ica,16,0,13,19,11,1,0.3426186144351959
ica,16,0,13,19,12,10,0.5079008340835571
ica,16,0,13,19,13,3,0.41082704067230225
ica,16,0,13,19,14,7,0.5245265960693359
ica,16,0,13,19,15,6,0.38238298892974854
ica,16,0,13,22,0,14,0.39696434140205383
ica,16,0,13,22,1,6,0.38659390807151794
ica,16,0,13,22,2,9,0.2063205987215042
ica,16,0,13,22,3,11,0.2983091473579407
ica,16,0,13,22,4,3,0.3803291320800781
ica,16,0,13,22,5,10,0.2461758702993393
ica,16,0,13,22,6,8,0.29961174726486206
ica,16,0,13,22,7,4,0.2909427583217621
ica,16,0,13,22,8,12,0.49778154492378235
ica,16,0,13,22,9,7,0.36257317662239075
ica,16,0,13,22,10,5,0.4817052185535431
ica,16,0,13,22,11,2,0.22929812967777252
ica,16,0,13,22,12,1,0.4553873538970947
ica,16,0,13,22,13,0,0.24881815910339355
ica,16,0,13,22,14,15,0.4210941195487976
ica,16,0,13,22,15,13,0.34768369793891907
ica,16,0,16,19,0,1,0.5010601878166199
ica,16,0,16,19,1,4,0.7071971297264099
ica,16,0,16,19,2,13,0.7432695031166077
ica,16,0,16,19,3,7,0.7076321244239807
ica,16,0,16,19,4,9,0.7249330878257751
ica,16,0,16,19,5,8,0.33780500292778015
ica,16,0,16,19,6,15,0.7554154396057129
ica,16,0,16,19,7,3,0.795859694480896
ica,16,0,16,19,8,0,0.4235170781612396
ica,16,0,16,19,9,5,0.7739687561988831
ica,16,0,16,19,10,2,0.8075579404830933
ica,16,0,16,19,11,12,0.7595870494842529
ica,16,0,16,19,12,6,0.5949093103408813
ica,16,0,16,19,13,14,0.42385274171829224
ica,16,0,16,19,14,11,0.6416161060333252
ica,16,0,16,19,15,10,0.45269447565078735
ica,16,0,16,22,0,9,0.5803539752960205
ica,16,0,16,22,1,3,0.591285228729248
ica,16,0,16,22,2,14,0.5900110006332397
ica,16,0,16,22,3,15,0.6149815917015076
ica,16,0,16,22,4,4,0.5724489092826843
ica,16,0,16,22,5,2,0.3650546073913574
ica,16,0,16,22,6,10,0.37759268283843994
ica,16,0,16,22,7,0,0.697461724281311
ica,16,0,16,22,8,6,0.40200093388557434
ica,16,0,16,22,9,12,0.6730703115463257
ica,16,0,16,22,10,7,0.6418471932411194
ica,16,0,16,22,11,5,0.6375640630722046
ica,16,0,16,22,12,11,0.46830466389656067
ica,16,0,16,22,13,13,0.32348501682281494
ica,16,0,16,22,14,8,0.5029454231262207
ica,16,0,16,22,15,1,0.3058936595916748
ica,16,0,19,22,0,6,0.7097082138061523
ica,16,0,19,22,1,2,0.7785342335700989
ica,16,0,19,22,2,7,0.857081413269043
ica,16,0,19,22,3,0,0.837853193283081
ica,16,0,19,22,4,3,0.7404009103775024
ica,16,0,19,22,5,12,0.8403787016868591
ica,16,0,19,22,6,11,0.5568307638168335
ica,16,0,19,22,7,15,0.8661851286888123
ica,16,0,19,22,8,10,0.6272546052932739
ica,16,0,19,22,9,4,0.7875640392303467
ica,16,0,19,22,10,1,0.8173537850379944
ica,16,0,19,22,11,8,0.7500712275505066
ica,16,0,19,22,12,5,0.8147554993629456
ica,16,0,19,22,13,14,0.7247897386550903
ica,16,0,19,22,14,9,0.5406413078308105
ica,16,0,19,22,15,13,0.4174603521823883
