decomposer,k,seed,layer,silhouette_cosine_H,component,mi,linear_sep_acc,category_top1_dominance,vad_explained
ica,8,0,19,-0.05604231357574463,0,0.1754466049150718,0.14375,0.375,0.0019408040679991245
ica,8,0,19,-0.05604231357574463,1,0.22134552813637898,0.1678125,0.375,0.02627962827682495
ica,8,0,19,-0.05604231357574463,2,0.17731455183767109,0.1540625,0.375,0.00046428863424807787
ica,8,0,19,-0.05604231357574463,3,0.1581278605448091,0.15812500000000002,0.25,0.0020293493289500475
ica,8,0,19,-0.05604231357574463,4,0.2048440667222846,0.17281250000000004,0.5,0.00022077995527070016
ica,8,0,19,-0.05604231357574463,5,0.17615136174709134,0.15,0.625,0.003094397485256195
ica,8,0,19,-0.05604231357574463,6,0.2151307479883524,0.15437499999999998,0.25,0.012287240475416183
ica,8,0,19,-0.05604231357574463,7,0.175264052470391,0.13312500000000002,0.5,0.00045361340744420886
ica,8,1,19,-0.056574493646621704,0,0.14828010228524535,0.1584375,0.25,0.0019338049460202456
ica,8,1,19,-0.056574493646621704,1,0.18886388904124285,0.1515625,0.625,0.0030467540491372347
ica,8,1,19,-0.056574493646621704,2,0.17995385046743673,0.14375,0.375,0.0019337792182341218
ica,8,1,19,-0.056574493646621704,3,0.2111642780422338,0.168125,0.5,0.00018257868941873312
ica,8,1,19,-0.056574493646621704,4,0.2123392304313878,0.16124999999999998,0.25,0.012821029871702194
ica,8,1,19,-0.056574493646621704,5,0.16337064948456392,0.15343749999999998,0.5,0.00040815427200868726
ica,8,1,19,-0.056574493646621704,6,0.19180695401111203,0.16531250000000003,0.5,0.02588731423020363
ica,8,1,19,-0.056574493646621704,7,0.1693775689339514,0.13375,0.5,0.0004532547318376601
ica,16,0,19,-0.02564343996345997,0,0.1875308149620376,0.1775,0.625,0.0015215183375403285
ica,16,0,19,-0.02564343996345997,1,0.15258488843344864,0.15875,0.25,0.0048783887177705765
ica,16,0,19,-0.02564343996345997,2,0.1374274027210407,0.14375,0.25,0.0061502475291490555
ica,16,0,19,-0.02564343996345997,3,0.16334413331484,0.14781249999999999,0.625,0.0012586290249601007
ica,16,0,19,-0.02564343996345997,4,0.1570479865170391,0.15906249999999997,0.375,0.011276870965957642
ica,16,0,19,-0.02564343996345997,5,0.16319172920478708,0.130625,0.5,0.0015409862389788032
ica,16,0,19,-0.02564343996345997,6,0.19383020635167192,0.1721875,1.0,0.018758634105324745
ica,16,0,19,-0.02564343996345997,7,0.20605590068679724,0.14625,0.375,0.0016972859157249331
ica,16,0,19,-0.02564343996345997,8,0.14091532319521116,0.15218749999999998,0.25,0.004767862148582935
ica,16,0,19,-0.02564343996345997,9,0.17324812256011057,0.1203125,0.5,0.000679189688526094
ica,16,0,19,-0.02564343996345997,10,0.19249574677383885,0.16875,0.5,0.013952639885246754
ica,16,0,19,-0.02564343996345997,11,0.2088156474861682,0.16375,1.0,0.00909253116697073
ica,16,0,19,-0.02564343996345997,12,0.1444671718723458,0.13999999999999999,0.375,0.0017331507988274097
ica,16,0,19,-0.02564343996345997,13,0.15526907058684536,0.14125000000000001,1.0,0.0029283182229846716
ica,16,0,19,-0.02564343996345997,14,0.16447867162580554,0.166875,0.625,0.001991350669413805
ica,16,0,19,-0.02564343996345997,15,0.23914164108825187,0.18343749999999998,0.625,0.024131152778863907
ica,16,1,19,-0.02644733339548111,0,0.2026756069318898,0.1621875,1.0,0.009147021919488907
ica,16,1,19,-0.02644733339548111,1,0.1511900750351831,0.1428125,0.375,0.004084091633558273
ica,16,1,19,-0.02644733339548111,2,0.18481791299657502,0.1596875,0.875,0.011385433375835419
ica,16,1,19,-0.02644733339548111,3,0.17469887712911403,0.143125,0.5,0.0016058448236435652
ica,16,1,19,-0.02644733339548111,4,0.13526070632408205,0.1378125,0.375,0.0015323352999985218
ica,16,1,19,-0.02644733339548111,5,0.1635156384554275,0.14125000000000001,0.75,0.0029687094502151012
ica,16,1,19,-0.02644733339548111,6,0.2367738837229174,0.18656250000000002,0.625,0.022887397557497025
ica,16,1,19,-0.02644733339548111,7,0.16542511099770962,0.1253125,0.5,0.0006713057518936694
ica,16,1,19,-0.02644733339548111,8,0.12730138706639682,0.14656249999999998,0.5,0.0007131290622055531
ica,16,1,19,-0.02644733339548111,9,0.16914862513003381,0.1378125,0.5,0.001311028259806335
ica,16,1,19,-0.02644733339548111,10,0.11491111072752513,0.14781249999999999,0.375,0.0012855733511969447
ica,16,1,19,-0.02644733339548111,11,0.19625326145116695,0.1665625,1.0,0.017953578382730484
ica,16,1,19,-0.02644733339548111,12,0.178831828941171,0.18875,0.375,0.010420138947665691
ica,16,1,19,-0.02644733339548111,13,0.10825940581116278,0.145,0.25,0.00414794497191906
ica,16,1,19,-0.02644733339548111,14,0.20169953856256173,0.168125,0.625,0.012962848879396915
ica,16,1,19,-0.02644733339548111,15,0.19932749997989996,0.179375,0.625,0.0013958768686279655
nmf,8,0,19,-0.07927314937114716,0,0.23754292765756446,0.16124999999999998,0.5,0.001109246863052249
nmf,8,0,19,-0.07927314937114716,1,0.2328087780387258,0.1775,0.875,0.0005851738387718797
nmf,8,0,19,-0.07927314937114716,2,0.18158213411981805,0.1584375,0.375,0.0022421013563871384
nmf,8,0,19,-0.07927314937114716,3,0.18746551260598032,0.1540625,0.875,0.005530102644115686
nmf,8,0,19,-0.07927314937114716,4,0.1603726297930308,0.15843749999999998,0.375,0.011654498055577278
nmf,8,0,19,-0.07927314937114716,5,0.19240176518085317,0.14625,0.375,0.0012019423302263021
nmf,8,0,19,-0.07927314937114716,6,0.2420093517243065,0.19125,0.5,0.019530653953552246
nmf,8,0,19,-0.07927314937114716,7,0.21136384163370092,0.1603125,0.875,0.0036570194642990828
nmf,8,1,19,-0.08332733064889908,0,0.23753938889449833,0.16124999999999998,0.5,0.0011092497734352946
nmf,8,1,19,-0.08332733064889908,1,0.23278645661015407,0.1775,0.875,0.0005851745954714715
nmf,8,1,19,-0.08332733064889908,2,0.18159715815827981,0.1584375,0.375,0.002242106944322586
nmf,8,1,19,-0.08332733064889908,3,0.18746551260598032,0.1540625,0.875,0.005530099384486675
nmf,8,1,19,-0.08332733064889908,4,0.16044169001972675,0.15843749999999998,0.375,0.01165448222309351
nmf,8,1,19,-0.08332733064889908,5,0.19235994187258187,0.14625,0.375,0.0012019408168271184
nmf,8,1,19,-0.08332733064889908,6,0.24201352886227312,0.19125,0.5,0.01953064650297165
nmf,8,1,19,-0.08332733064889908,7,0.21136384163370092,0.1603125,0.875,0.0036570155061781406
nmf,16,0,19,-0.04439003765583038,0,0.22651343486611175,0.1615625,0.5,0.002204303862527013
nmf,16,0,19,-0.04439003765583038,1,0.23192290562480977,0.17906249999999999,0.375,0.0005545760504901409
nmf,16,0,19,-0.04439003765583038,2,0.1960899191834602,0.14968750000000003,0.5,0.0009896240662783384
nmf,16,0,19,-0.04439003765583038,3,0.18592272137875776,0.16,0.5,0.004265297204256058
nmf,16,0,19,-0.04439003765583038,4,0.23951932866226366,0.18406250000000002,0.5,0.03615560382604599
nmf,16,0,19,-0.04439003765583038,5,0.20249476524334842,0.1521875,0.375,0.001181835657916963
nmf,16,0,19,-0.04439003765583038,6,0.1979601609080186,0.1721875,0.5,0.013841739855706692
nmf,16,0,19,-0.04439003765583038,7,0.23101772340610616,0.1578125,0.875,0.003850993001833558
nmf,16,0,19,-0.04439003765583038,8,0.24534738088919505,0.18125,0.5,0.0010479482589289546
nmf,16,0,19,-0.04439003765583038,9,0.19331643169164092,0.15187499999999998,0.875,0.004646946210414171
nmf,16,0,19,-0.04439003765583038,10,0.19312537669191387,0.16343749999999999,1.0,0.010065185837447643
nmf,16,0,19,-0.04439003765583038,11,0.16465102956526412,0.14218749999999997,0.625,0.00040096111479215324
nmf,16,0,19,-0.04439003765583038,12,0.13338583671361137,0.145,0.375,0.0010348696960136294
nmf,16,0,19,-0.04439003765583038,13,0.20884452229684758,0.15812500000000002,0.5,0.00431154016405344
nmf,16,0,19,-0.04439003765583038,14,0.2683689734842498,0.1715625,0.5,0.014043185859918594
nmf,16,0,19,-0.04439003765583038,15,0.16181337186790445,0.13562500000000002,0.5,0.0020559339318424463
nmf,16,1,19,-0.042805951088666916,0,0.2259665517021503,0.1615625,0.5,0.002204140415415168
nmf,16,1,19,-0.042805951088666916,1,0.232047657769467,0.17906249999999999,0.375,0.000554557133000344
nmf,16,1,19,-0.042805951088666916,2,0.1954498807028271,0.14968750000000003,0.5,0.00098984909709543
nmf,16,1,19,-0.042805951088666916,3,0.1855528782615652,0.16,0.5,0.0042659989558160305
nmf,16,1,19,-0.042805951088666916,4,0.2395033038043599,0.18406250000000002,0.5,0.03615053370594978
nmf,16,1,19,-0.042805951088666916,5,0.2028353667343552,0.1521875,0.375,0.0011816626647487283
nmf,16,1,19,-0.042805951088666916,6,0.19745702935097187,0.1721875,0.5,0.013840192928910255
nmf,16,1,19,-0.042805951088666916,7,0.2309680437214796,0.1578125,0.875,0.0038510137237608433
nmf,16,1,19,-0.042805951088666916,8,0.24484178545958502,0.18125,0.5,0.0010480681667104363
nmf,16,1,19,-0.042805951088666916,9,0.19319330103281285,0.15187499999999998,0.875,0.004646847955882549
nmf,16,1,19,-0.042805951088666916,10,0.1931457050560237,0.16343749999999999,1.0,0.010064704343676567
nmf,16,1,19,-0.042805951088666916,11,0.16538178061693243,0.14218749999999997,0.625,0.0004009157419204712
nmf,16,1,19,-0.042805951088666916,12,0.132878902716282,0.145,0.375,0.0010349210351705551
nmf,16,1,19,-0.042805951088666916,13,0.20651012128698598,0.15812500000000002,0.5,0.0043139224871993065
nmf,16,1,19,-0.042805951088666916,14,0.269264929032869,0.1715625,0.5,0.014043465256690979
nmf,16,1,19,-0.042805951088666916,15,0.16354908581659888,0.13562500000000002,0.5,0.0020561895798891783
pca,8,0,19,-0.08260826021432877,0,0.2462037227937528,0.1771875,0.375,0.00018741749227046967
pca,8,0,19,-0.08260826021432877,1,0.20328226793005832,0.1484375,0.5,0.002998600248247385
pca,8,0,19,-0.08260826021432877,2,0.22031193214171996,0.1509375,0.5,0.01729832962155342
pca,8,0,19,-0.08260826021432877,3,0.14443170787051862,0.1453125,0.375,0.01211440097540617
pca,8,0,19,-0.08260826021432877,4,0.15201656656467,0.1446875,0.25,0.0010830482933670282
pca,8,0,19,-0.08260826021432877,5,0.18488392971127876,0.16312500000000002,0.625,0.016734300181269646
pca,8,0,19,-0.08260826021432877,6,0.17039915638667136,0.14718749999999997,1.0,0.0014689327217638493
pca,8,0,19,-0.08260826021432877,7,0.1569417335193557,0.153125,0.25,0.0006086334469728172
pca,8,1,19,-0.08321905881166458,0,0.2462009326151806,0.1771875,0.375,0.00018741755047813058
pca,8,1,19,-0.08321905881166458,1,0.20335233241418482,0.1484375,0.5,0.002998590236529708
pca,8,1,19,-0.08321905881166458,2,0.220813736220542,0.1509375,0.5,0.017298610880970955
pca,8,1,19,-0.08321905881166458,3,0.1452294108237524,0.1453125,0.375,0.012124714441597462
pca,8,1,19,-0.08321905881166458,4,0.15274036304524907,0.1446875,0.25,0.001082482747733593
pca,8,1,19,-0.08321905881166458,5,0.1760104554142794,0.16312500000000002,0.625,0.016698282212018967
pca,8,1,19,-0.08321905881166458,6,0.16604613471430385,0.146875,1.0,0.0014449894661083817
pca,8,1,19,-0.08321905881166458,7,0.1478102383417137,0.1540625,0.25,0.0006058881990611553
pca,16,0,19,-0.04975943639874458,0,0.2462096670872307,0.1771875,0.375,0.00018741682288236916
pca,16,0,19,-0.04975943639874458,1,0.20335233241418482,0.1484375,0.5,0.002998598851263523
pca,16,0,19,-0.04975943639874458,2,0.22069327157875307,0.1509375,0.5,0.01729877106845379
pca,16,0,19,-0.04975943639874458,3,0.14478397744921034,0.1453125,0.375,0.012113356962800026
pca,16,0,19,-0.04975943639874458,4,0.15298197236254563,0.1446875,0.25,0.0010830223327502608
pca,16,0,19,-0.04975943639874458,5,0.18423123726494506,0.16312500000000002,0.625,0.016726335510611534
pca,16,0,19,-0.04975943639874458,6,0.1634590628144137,0.14750000000000002,1.0,0.001463128486648202
pca,16,0,19,-0.04975943639874458,7,0.14968327951980465,0.15499999999999997,0.25,0.0006053462857380509
pca,16,0,19,-0.04975943639874458,8,0.22266734931910737,0.17500000000000002,0.75,0.023698344826698303
pca,16,0,19,-0.04975943639874458,9,0.17764911507264314,0.1703125,1.0,0.007033323869109154
pca,16,0,19,-0.04975943639874458,10,0.1633662570751202,0.140625,0.625,0.006967221386730671
pca,16,0,19,-0.04975943639874458,11,0.13655833234392478,0.1340625,0.375,0.003192753763869405
pca,16,0,19,-0.04975943639874458,12,0.15965113830673117,0.1375,0.5,0.002844071015715599
pca,16,0,19,-0.04975943639874458,13,0.15133883536233306,0.1428125,0.75,0.006294309627264738
pca,16,0,19,-0.04975943639874458,14,0.17137272416753735,0.14250000000000002,0.625,0.00895079504698515
pca,16,0,19,-0.04975943639874458,15,0.17536831913845763,0.146875,0.5,0.005995818879455328
