decomposer,k,seed,layer,r2_train,r2_val,n_train,n_val
ica,8,0,19,0.2542158038197311,0.24411277493825922,3200,800
ica,8,1,19,0.254215866025877,0.24411277493825922,3200,800
ica,16,0,19,0.3392419633702842,0.3241434223554396,3200,800
ica,16,1,19,0.3392419633702842,0.3241434223554396,3200,800
nmf,8,0,19,0.2356862725094494,0.22367842367606827,3200,800
nmf,8,1,19,0.2356862725094494,0.22367842367606827,3200,800
nmf,16,0,19,0.31396885039683164,0.2997574287967705,3200,800
nmf,16,1,19,0.3139694724582911,0.2997581035257534,3200,800
pca,8,0,19,0.25421549278900135,0.24410891058135753,3200,800
pca,8,1,19,0.2542163636750445,0.24409596805268674,3200,800
pca,16,0,19,0.3392393507121546,0.3241503536622633,3200,800
pca,16,1,19,0.3392402215981978,0.32412164701099355,3200,800
