decomposer,k,seed,layer,silhouette_cosine_H,component,mi,linear_sep_acc,category_top1_dominance,vad_explained
ica,16,0,22,-0.02558945305645466,0,0.13345402690935604,0.146875,0.375,0.0003100158937741071
ica,16,0,22,-0.02558945305645466,1,0.20074264813805165,0.18937500000000002,0.5,0.017795918509364128
ica,16,0,22,-0.02558945305645466,2,0.13440007159704281,0.1596875,0.625,0.006109745241701603
ica,16,0,22,-0.02558945305645466,3,0.1598697555051971,0.1596875,0.625,0.007297479547560215
ica,16,0,22,-0.02558945305645466,4,0.15514764806119752,0.130625,1.0,0.00011879763042088598
ica,16,0,22,-0.02558945305645466,5,0.17962622686150365,0.14875,0.375,0.0017709448002278805
ica,16,0,22,-0.02558945305645466,6,0.1809426171683577,0.17250000000000001,0.375,0.0024683161173015833
ica,16,0,22,-0.02558945305645466,7,0.1274143821428324,0.1540625,0.375,0.004464966710656881
ica,16,0,22,-0.02558945305645466,8,0.21234680053614818,0.169375,1.0,0.008737131953239441
ica,16,0,22,-0.02558945305645466,9,0.148311391440215,0.15031250000000002,0.375,0.004071422386914492
ica,16,0,22,-0.02558945305645466,10,0.14995169646811446,0.159375,0.5,0.011522714048624039
ica,16,0,22,-0.02558945305645466,11,0.19970951329624853,0.1984375,0.625,0.013818910345435143
ica,16,0,22,-0.02558945305645466,12,0.16741170315378273,0.1446875,0.625,0.0017697879811748862
ica,16,0,22,-0.02558945305645466,13,0.15552908737292892,0.16968750000000002,0.375,0.002107796026393771
ica,16,0,22,-0.02558945305645466,14,0.16019597206173275,0.135,0.25,0.005515591707080603
ica,16,0,22,-0.02558945305645466,15,0.18956485945528723,0.143125,0.375,0.002113095484673977
ica,32,0,22,-0.0070766303688287735,0,0.15211115818601062,0.13406249999999997,0.375,0.0006314230849966407
ica,32,0,22,-0.0070766303688287735,1,0.17917672960216624,0.1521875,1.0,0.003763719694688916
ica,32,0,22,-0.0070766303688287735,2,0.1670325683167624,0.17281249999999998,1.0,0.007976620458066463
ica,32,0,22,-0.0070766303688287735,3,0.14889933455572457,0.1478125,0.5,0.0015960924793034792
ica,32,0,22,-0.0070766303688287735,4,0.10804927165708733,0.125,0.25,0.0005979109555482864
ica,32,0,22,-0.0070766303688287735,5,0.16061746843786784,0.13562499999999997,0.375,0.0008429709123447537
ica,32,0,22,-0.0070766303688287735,6,0.18111204678184123,0.144375,0.625,0.002933926647529006
ica,32,0,22,-0.0070766303688287735,7,0.1509853680870088,0.1521875,0.375,0.002162414835765958
ica,32,0,22,-0.0070766303688287735,8,0.1560420197335617,0.1534375,0.5,0.0033613087143749
ica,32,0,22,-0.0070766303688287735,9,0.14986821600493405,0.14875,0.25,0.003858150215819478
ica,32,0,22,-0.0070766303688287735,10,0.15399273965989568,0.1303125,0.375,0.00024268051492981613
ica,32,0,22,-0.0070766303688287735,11,0.19774567129856502,0.17375000000000002,1.0,0.01563439331948757
ica,32,0,22,-0.0070766303688287735,12,0.1663978985854424,0.12312500000000001,0.875,0.0006379714468494058
ica,32,0,22,-0.0070766303688287735,13,0.142603729389144,0.150625,0.375,0.0016798140713945031
ica,32,0,22,-0.0070766303688287735,14,0.17388456887261272,0.150625,0.375,0.0008725228835828602
ica,32,0,22,-0.0070766303688287735,15,0.19807259232377916,0.1640625,0.5,0.0026695295237004757
ica,32,0,22,-0.0070766303688287735,16,0.18077976150803465,0.1428125,0.375,0.0005918418755754828
ica,32,0,22,-0.0070766303688287735,17,0.17231529129579926,0.169375,0.5,0.005647849757224321
ica,32,0,22,-0.0070766303688287735,18,0.2016390193528501,0.15968750000000004,0.375,0.002638485748320818
ica,32,0,22,-0.0070766303688287735,19,0.1592412036825257,0.12250000000000001,0.875,0.0020780086051672697
ica,32,0,22,-0.0070766303688287735,20,0.15359713301703914,0.133125,0.375,0.0017533882055431604
ica,32,0,22,-0.0070766303688287735,21,0.12872227578533968,0.14375,0.5,0.00301348022185266
ica,32,0,22,-0.0070766303688287735,22,0.16391558864621114,0.1625,0.625,0.0006049508810974658
ica,32,0,22,-0.0070766303688287735,23,0.15078877599934604,0.13874999999999998,0.375,0.0009313609334640205
ica,32,0,22,-0.0070766303688287735,24,0.15955842257351316,0.15281250000000002,0.375,0.006417570170015097
ica,32,0,22,-0.0070766303688287735,25,0.1543357659856377,0.14968750000000003,0.375,0.027227316051721573
ica,32,0,22,-0.0070766303688287735,26,0.17549200754906158,0.1346875,0.5,0.0039832680486142635
ica,32,0,22,-0.0070766303688287735,27,0.17125025516883685,0.13937500000000003,0.375,0.0035657095722854137
ica,32,0,22,-0.0070766303688287735,28,0.16773265420894434,0.1384375,0.875,0.004671295173466206
ica,32,0,22,-0.0070766303688287735,29,0.175359492437706,0.16749999999999998,0.5,0.0015555599238723516
ica,32,0,22,-0.0070766303688287735,30,0.15483953651823912,0.15812500000000002,0.375,0.010345153510570526
ica,32,0,22,-0.0070766303688287735,31,0.1566327815776849,0.1578125,0.5,0.0029556879308074713
ica,64,0,22,0.002953358693048358,0,0.1551906809528525,0.14781249999999999,0.375,0.0017712601693347096
ica,64,0,22,0.002953358693048358,1,0.16440514436356324,0.1471875,0.875,0.0015121513279154897
ica,64,0,22,0.002953358693048358,2,0.15801248564323256,0.14562499999999998,0.5,0.0020711091347038746
ica,64,0,22,0.002953358693048358,3,0.1403839650801939,0.14125000000000001,0.5,0.000222141039557755
ica,64,0,22,0.002953358693048358,4,0.1341837404781181,0.1528125,0.25,0.0009390654740855098
ica,64,0,22,0.002953358693048358,5,0.15805536558675648,0.16125,0.25,0.00708423275500536
ica,64,0,22,0.002953358693048358,6,0.16908090558479305,0.14875,1.0,0.0049116346053779125
ica,64,0,22,0.002953358693048358,7,0.1512724640588501,0.1578125,1.0,0.008493772707879543
ica,64,0,22,0.002953358693048358,8,0.15918360877203241,0.1628125,1.0,0.0040686726570129395
