i,j,alpha,beta,mean_resid_ratio,median_resid_ratio,mean_actual_i,mean_pred_i,mean_actual_j,mean_pred_j
8,4,-2.0,-2.0,0.6668640971183777,0.6387893557548523,-0.015659965574741364,-0.027653537690639496,-0.03574378415942192,0.0018290033331140876
8,4,-2.0,0.0,5.5709893587163606e-08,5.995043750317564e-08,-0.02775547467172146,-0.02775547467172146,0.012005227617919445,0.012005227617919445
8,4,-2.0,2.0,0.8152106404304504,0.7530000805854797,-0.001788448542356491,-0.032829344272613525,-0.014973456971347332,0.015577460639178753
8,4,0.0,-2.0,5.6543893123262023e-08,6.716948064422468e-08,0.010357297025620937,0.010357297025620937,0.008866507560014725,0.0088665084913373
8,4,0.0,2.0,2.8577887860592455e-06,6.510529715342273e-08,0.005181491374969482,0.005181489046663046,0.022614961490035057,0.022614961490035057
8,4,2.0,-2.0,688985984.0,1.0012694597244263,0.0010395298013463616,0.019534951075911522,0.013126817531883717,0.0052129775285720825
8,4,2.0,0.0,2.2389826881408226e-08,0.0,0.01943301223218441,0.01943301223218441,0.015389199368655682,0.015389199368655682
8,4,2.0,2.0,0.8182559013366699,0.5958124995231628,-0.0019900649785995483,0.014359143562614918,0.05653013288974762,0.018961431458592415
8,7,-2.0,-2.0,0.7055101990699768,0.6786478161811829,-0.009222841821610928,-0.049918800592422485,0.13550853729248047,0.12664048373699188
8,7,-2.0,0.0,5.5709893587163606e-08,5.995043750317564e-08,-0.02775547467172146,-0.02775547467172146,0.1503618210554123,0.1503618210554123
8,7,-2.0,2.0,0.4969611167907715,0.7143378853797913,-0.007857748307287693,-0.01946476846933365,0.11707717180252075,0.1712709665298462
8,7,0.0,-2.0,2.883238948925282e-06,1.0823691098948984e-07,-0.011907964944839478,-0.011907962150871754,0.1265081912279129,0.1265081912279129
8,7,0.0,2.0,6.116982262938109e-07,4.750263826736045e-08,0.01854606345295906,0.01854606345295906,0.17113865911960602,0.17113865911960602
8,7,2.0,-2.0,0.4087836444377899,0.4675285518169403,-0.01962575875222683,-0.0027303099632263184,0.10706073045730591,0.12299665063619614
8,7,2.0,0.0,2.2389826881408226e-08,0.0,0.01943301223218441,0.01943301223218441,0.14671796560287476,0.14671798050403595
8,7,2.0,2.0,7.56151008605957,0.01094312034547329,0.024461084976792336,0.02772371657192707,0.1640714555978775,0.16762711107730865
4,7,-2.0,-2.0,0.33910802006721497,0.42305925488471985,0.012794236652553082,0.019864963367581367,0.1290089339017868,0.11744445562362671
4,7,-2.0,0.0,5.6543893123262023e-08,6.716948064422468e-08,0.008866507560014725,0.0088665084913373,0.14116577804088593,0.14116577804088593
4,7,-2.0,2.0,0.532649040222168,0.6193612217903137,-0.012186918407678604,-0.018651166930794716,0.19028282165527344,0.16207492351531982
4,7,0.0,-2.0,2.883238948925282e-06,1.0823691098948984e-07,0.030041193589568138,0.03004118800163269,0.1265081912279129,0.1265081912279129
4,7,0.0,2.0,6.116982262938109e-07,4.750263826736045e-08,-0.008474944159388542,-0.008474944159388542,0.17113865911960602,0.17113865911960602
4,7,2.0,-2.0,0.533689558506012,0.5,0.02862183190882206,0.0336134247481823,0.10706073045730591,0.1369858682155609
4,7,2.0,0.0,2.8577887860592455e-06,6.510529715342273e-08,0.022614961490035057,0.022614961490035057,0.16070720553398132,0.16070720553398132
4,7,2.0,2.0,0.2073029726743698,0.042709846049547195,0.0035668027121573687,-0.004902709741145372,0.18382513523101807,0.18161635100841522
