i,j,alpha,beta,mean_resid_ratio,median_resid_ratio,mean_actual_i,mean_pred_i,mean_actual_j,mean_pred_j
8,4,-1.0,-1.0,0.8579958081245422,0.993614673614502,-0.008793164044618607,-0.021463613957166672,0.010111005045473576,-0.010661656968295574
8,4,-1.0,0.0,1.0325771171437736e-07,1.1722215731424512e-07,-0.01484251394867897,-0.01484251581132412,-0.0013146819546818733,-0.0013146819546818733
8,4,-1.0,1.0,0.7400351762771606,0.9020431637763977,-0.03088812157511711,-0.01754779927432537,0.0013856063596904278,0.0012162113562226295
8,4,0.0,-1.0,9.449228741686966e-07,9.224996233569982e-08,-0.014068610034883022,-0.014068608172237873,0.011087191291153431,0.011087190359830856
8,4,0.0,1.0,1.0276068884707001e-08,0.0,-0.010152798146009445,-0.010152798146009445,0.02296505495905876,0.02296505868434906
8,4,1.0,-1.0,0.6589317321777344,0.7159016132354736,-0.0070754652842879295,-0.004070807248353958,0.02191656082868576,0.007194846868515015
8,4,1.0,0.0,1.921843306718074e-08,0.0,0.0025502899661660194,0.0025502899661660194,0.016541820019483566,0.016541820019483566
8,4,1.0,1.0,0.2694748640060425,0.0,-0.001011442393064499,-0.0001549944281578064,0.038460370153188705,0.01907271333038807
8,7,-1.0,-1.0,0.6379161477088928,0.7758322954177856,-0.015585371293127537,-0.004844712093472481,0.13986462354660034,0.1259087771177292
8,7,-1.0,0.0,1.0325771171437736e-07,1.1722215731424512e-07,-0.01484251394867897,-0.01484251581132412,0.13092389702796936,0.13092389702796936
8,7,-1.0,1.0,0.3424898087978363,0.31119048595428467,-0.017009057104587555,0.0011289538815617561,0.15309089422225952,0.1423240602016449
8,7,0.0,-1.0,1.921843306718074e-08,0.0,0.0025502899661660194,0.0025502899661660194,0.15547391772270203,0.15547391772270203
8,7,0.0,1.0,3.054235264698946e-08,2.2647842712331112e-08,0.008523956872522831,0.008523953147232533,0.17188920080661774,0.17188920080661774
8,7,1.0,-1.0,80326148096.0,0.5629221200942993,-0.029607798904180527,0.012548093684017658,0.12914100289344788,0.15045878291130066
8,7,1.0,0.0,1.921843306718074e-08,0.0,0.0025502899661660194,0.0025502899661660194,0.15547391772270203,0.15547391772270203
8,7,1.0,1.0,70969245696.0,0.5,-0.009353660978376865,0.018521755933761597,0.17215892672538757,0.16687408089637756
4,7,-1.0,-1.0,0.7475642561912537,0.9951285123825073,0.019386693835258484,0.007194846868515015,0.15999409556388855,0.1273922473192215
4,7,-1.0,0.0,9.449228741686966e-07,9.224996233569982e-08,0.011087191291153431,0.011087190359830856,0.13240738213062286,0.13240736722946167
4,7,-1.0,1.0,0.6055151224136353,0.711030125617981,0.005116167478263378,-0.01247315388172865,0.16869807243347168,0.1438075304031372
4,7,0.0,-1.0,1.921843306718074e-08,0.0,0.016541820019483566,0.016541820019483566,0.15547391772270203,0.15547391772270203
4,7,0.0,1.0,3.054235264698946e-08,2.2647842712331112e-08,-0.0031261788681149483,-0.0031261788681149483,0.17188920080661774,0.17188920080661774
4,7,1.0,-1.0,80326148096.0,0.2784644663333893,0.027022503316402435,0.01907271333038807,0.15208055078983307,0.15186923742294312
4,7,1.0,0.0,1.0276068884707001e-08,0.0,0.02296505495905876,0.02296505868434906,0.15688437223434448,0.15688437223434448
4,7,1.0,1.0,81490739200.0,0.802589476108551,0.013689368963241577,-0.0005952860228717327,0.14916996657848358,0.16828452050685883
8,11,-1.0,-1.0,0.9647905826568604,1.0,-0.014668566174805164,-0.01870758831501007,-0.02521878480911255,-0.05487591773271561
8,11,-1.0,0.0,1.0325771171437736e-07,1.1722215731424512e-07,-0.01484251394867897,-0.01484251581132412,-0.034776441752910614,-0.034776441752910614
8,11,-1.0,1.0,0.6868945360183716,0.8737891316413879,-0.011223001405596733,-0.004844712093472481,-0.0038084127008914948,-0.04814402759075165
8,11,0.0,-1.0,3.1587859439241583e-08,2.4738852744121687e-08,-0.011312587186694145,-0.011312585324048996,-0.03323229402303696,-0.03323229402303696
8,11,0.0,1.0,1.921843306718074e-08,0.0,0.0025502899661660194,0.0025502899661660194,-0.026500407606363297,-0.026500407606363297
8,11,1.0,-1.0,143070756864.0,125489217536.0,-0.020782850682735443,-0.0013147816061973572,-0.029369095340371132,-0.04659988358616829
8,11,1.0,0.0,1.921843306718074e-08,0.0,0.0025502899661660194,0.0025502899661660194,-0.026500407606363297,-0.026500407606363297
8,11,1.0,1.0,70969245696.0,0.5,-0.015327326022088528,0.012548093684017658,-0.011928183026611805,-0.03986799716949463
