cat_a,cat_b,alpha,beta,vector,top_cluster_id,top_cluster_name,top_cos,null_p95
b1,b11,-2.0,-2.0,resid,0,self-doubt / encouragement,0.07671011239290237,0.04447821527719498
b1,b11,-2.0,-2.0,marg,6,enthusiasm / curiosity,0.27495378255844116,0.04128201678395271
b1,b11,-2.0,-2.0,full,3,romantic idealism,0.03091905266046524,0.05297365039587021
b1,b11,-2.0,2.0,resid,4,academic ambition / competitive determination,0.027918869629502296,0.04842482879757881
b1,b11,-2.0,2.0,marg,2,uncertainty / indecision,0.3206946849822998,0.040912676602602005
b1,b11,-2.0,2.0,full,6,enthusiasm / curiosity,-0.006676545366644859,0.04128201678395271
b1,b11,2.0,-2.0,resid,4,academic ambition / competitive determination,0.04854752868413925,0.04842482879757881
b1,b11,2.0,-2.0,marg,6,enthusiasm / curiosity,0.30819329619407654,0.04128201678395271
b1,b11,2.0,-2.0,full,3,romantic idealism,0.047331392765045166,0.05297365039587021
b1,b11,2.0,2.0,resid,5,ironic amusement,0.017630301415920258,0.04776734113693237
b1,b11,2.0,2.0,marg,2,uncertainty / indecision,0.34221717715263367,0.040912676602602005
b1,b11,2.0,2.0,full,1,frustration / despair,0.05860771983861923,0.04994594305753708
b1,b13,-2.0,-2.0,resid,1,frustration / despair,0.01762949675321579,0.04994594305753708
b1,b13,-2.0,-2.0,marg,6,enthusiasm / curiosity,0.28697338700294495,0.04128201678395271
b1,b13,-2.0,-2.0,full,1,frustration / despair,0.00549740344285965,0.04994594305753708
b1,b13,-2.0,2.0,resid,4,academic ambition / competitive determination,0.1685338169336319,0.04842482879757881
b1,b13,-2.0,2.0,marg,6,enthusiasm / curiosity,0.23139837384223938,0.04128201678395271
b1,b13,-2.0,2.0,full,6,enthusiasm / curiosity,0.0859861969947815,0.04128201678395271
b1,b13,2.0,-2.0,resid,1,frustration / despair,0.11447209864854813,0.04994594305753708
b1,b13,2.0,-2.0,marg,6,enthusiasm / curiosity,0.30262622237205505,0.04128201678395271
b1,b13,2.0,-2.0,full,1,frustration / despair,0.136167511343956,0.04994594305753708
b1,b13,2.0,2.0,resid,4,academic ambition / competitive determination,0.15370872616767883,0.04842482879757881
b1,b13,2.0,2.0,marg,2,uncertainty / indecision,0.25514835119247437,0.040912676602602005
b1,b13,2.0,2.0,full,1,frustration / despair,-4.327856004238129e-05,0.04994594305753708
b11,b13,-2.0,-2.0,resid,4,academic ambition / competitive determination,0.056439224630594254,0.04842482879757881
b11,b13,-2.0,-2.0,marg,6,enthusiasm / curiosity,0.32742565870285034,0.04128201678395271
b11,b13,-2.0,-2.0,full,3,romantic idealism,0.10159549117088318,0.05297365039587021
b11,b13,-2.0,2.0,resid,4,academic ambition / competitive determination,0.1202910989522934,0.04842482879757881
b11,b13,-2.0,2.0,marg,6,enthusiasm / curiosity,0.2603956460952759,0.04128201678395271
b11,b13,-2.0,2.0,full,6,enthusiasm / curiosity,0.05118944123387337,0.04128201678395271
b11,b13,2.0,-2.0,resid,4,academic ambition / competitive determination,0.06880924105644226,0.04842482879757881
b11,b13,2.0,-2.0,marg,2,uncertainty / indecision,0.3350374400615692,0.040912676602602005
b11,b13,2.0,-2.0,full,3,romantic idealism,0.12612318992614746,0.05297365039587021
b11,b13,2.0,2.0,resid,4,academic ambition / competitive determination,0.14490845799446106,0.04842482879757881
b11,b13,2.0,2.0,marg,2,uncertainty / indecision,0.31700727343559265,0.040912676602602005
b11,b13,2.0,2.0,full,3,romantic idealism,0.12766079604625702,0.05297365039587021
b8,b4,-2.0,-2.0,resid,2,uncertainty / indecision,0.07834900915622711,0.040912676602602005
b8,b4,-2.0,-2.0,marg,6,enthusiasm / curiosity,0.250596821308136,0.04128201678395271
b8,b4,-2.0,-2.0,full,1,frustration / despair,0.07367050647735596,0.04994594305753708
b8,b4,-2.0,2.0,resid,2,uncertainty / indecision,0.124798484146595,0.040912676602602005
b8,b4,-2.0,2.0,marg,6,enthusiasm / curiosity,0.267083078622818,0.04128201678395271
b8,b4,-2.0,2.0,full,1,frustration / despair,0.16235679388046265,0.04994594305753708
b8,b4,2.0,-2.0,resid,4,academic ambition / competitive determination,0.06970816850662231,0.04842482879757881
b8,b4,2.0,-2.0,marg,6,enthusiasm / curiosity,0.25820469856262207,0.04128201678395271
b8,b4,2.0,-2.0,full,6,enthusiasm / curiosity,0.03363068401813507,0.04128201678395271
b8,b4,2.0,2.0,resid,2,uncertainty / indecision,0.1563960611820221,0.040912676602602005
b8,b4,2.0,2.0,marg,6,enthusiasm / curiosity,0.2865109443664551,0.04128201678395271
b8,b4,2.0,2.0,full,3,romantic idealism,0.10045387595891953,0.05297365039587021
b8,b7,-2.0,-2.0,resid,0,self-doubt / encouragement,0.10983940213918686,0.04447821527719498
b8,b7,-2.0,-2.0,marg,6,enthusiasm / curiosity,0.27153652906417847,0.04128201678395271
b8,b7,-2.0,-2.0,full,6,enthusiasm / curiosity,0.08276444673538208,0.04128201678395271
b8,b7,-2.0,2.0,resid,0,self-doubt / encouragement,0.10131202638149261,0.04447821527719498
b8,b7,-2.0,2.0,marg,6,enthusiasm / curiosity,0.2442190796136856,0.04128201678395271
b8,b7,-2.0,2.0,full,1,frustration / despair,0.06769558787345886,0.04994594305753708
b8,b7,2.0,-2.0,resid,4,academic ambition / competitive determination,0.0492548868060112,0.04842482879757881
b8,b7,2.0,-2.0,marg,6,enthusiasm / curiosity,0.27847304940223694,0.04128201678395271
b8,b7,2.0,-2.0,full,6,enthusiasm / curiosity,0.04761991277337074,0.04128201678395271
b8,b7,2.0,2.0,resid,4,academic ambition / competitive determination,0.16480746865272522,0.04842482879757881
b8,b7,2.0,2.0,marg,6,enthusiasm / curiosity,0.26944100856781006,0.04128201678395271
b8,b7,2.0,2.0,full,6,enthusiasm / curiosity,0.049179524183273315,0.04128201678395271
