cat_a,cat_b,prompt_id,cluster_id,cluster_name,alpha,beta,cos_joint,cos_marg_a,cos_marg_b,cos_baseline,joint_minus_marg_max,joint_minus_marg_avg
b1,b11,0,0,self-doubt / encouragement,-2.0,-2.0,0.20792222023010254,0.18022263050079346,0.033052776008844376,0.2579997777938843,0.027699589729309082,0.10128451697528362
b1,b11,0,0,self-doubt / encouragement,-2.0,2.0,0.22632677853107452,0.18022263050079346,0.28550663590431213,0.2579997777938843,-0.05917985737323761,-0.0065378546714782715
b1,b11,0,0,self-doubt / encouragement,2.0,-2.0,0.13934612274169922,0.18886063992977142,0.033052776008844376,0.2579997777938843,-0.049514517188072205,0.02838941477239132
b1,b11,0,0,self-doubt / encouragement,2.0,2.0,0.12013567984104156,0.18886063992977142,0.28550663590431213,0.2579997777938843,-0.16537095606327057,-0.11704795807600021
b1,b11,0,1,frustration / despair,-2.0,-2.0,0.08682265877723694,0.10425586253404617,0.1212875247001648,0.1789245754480362,-0.034464865922927856,-0.025949034839868546
b1,b11,0,1,frustration / despair,-2.0,2.0,0.17953215539455414,0.10425586253404617,0.10028143227100372,0.1789245754480362,0.07527629286050797,0.07726350799202919
b1,b11,0,1,frustration / despair,2.0,-2.0,0.204960897564888,0.1258285641670227,0.1212875247001648,0.1789245754480362,0.0791323333978653,0.08140285313129425
b1,b11,0,1,frustration / despair,2.0,2.0,0.28790685534477234,0.1258285641670227,0.10028143227100372,0.1789245754480362,0.16207829117774963,0.17485185712575912
b1,b11,0,2,uncertainty / indecision,-2.0,-2.0,0.09953367710113525,0.15817390382289886,0.13503694534301758,0.29380178451538086,-0.05864022672176361,-0.04707174748182297
b1,b11,0,2,uncertainty / indecision,-2.0,2.0,0.22633758187294006,0.15817390382289886,0.15546968579292297,0.29380178451538086,0.0681636780500412,0.06951578706502914
b1,b11,0,2,uncertainty / indecision,2.0,-2.0,0.15937401354312897,0.2826298773288727,0.13503694534301758,0.29380178451538086,-0.12325586378574371,-0.04945939779281616
b1,b11,0,2,uncertainty / indecision,2.0,2.0,0.18477168679237366,0.2826298773288727,0.15546968579292297,0.29380178451538086,-0.09785819053649902,-0.03427809476852417
b1,b11,0,3,romantic idealism,-2.0,-2.0,0.12635177373886108,0.09416302293539047,-0.0001990952150663361,0.09819807857275009,0.03218875080347061,0.07936980987869902
b1,b11,0,3,romantic idealism,-2.0,2.0,0.11718201637268066,0.09416302293539047,0.08180591464042664,0.09819807857275009,0.02301899343729019,0.02919754758477211
b1,b11,0,3,romantic idealism,2.0,-2.0,0.07984854280948639,0.10202836990356445,-0.0001990952150663361,0.09819807857275009,-0.022179827094078064,0.02893390546523733
b1,b11,0,3,romantic idealism,2.0,2.0,0.03565463051199913,0.10202836990356445,0.08180591464042664,0.09819807857275009,-0.06637373939156532,-0.056262511759996414
b1,b11,0,4,academic ambition / competitive determination,-2.0,-2.0,0.08283296227455139,0.12267141044139862,0.07843396067619324,0.12983283400535583,-0.03983844816684723,-0.017719723284244537
b1,b11,0,4,academic ambition / competitive determination,-2.0,2.0,0.12833066284656525,0.12267141044139862,0.155781552195549,0.12983283400535583,-0.027450889348983765,-0.01089581847190857
b1,b11,0,4,academic ambition / competitive determination,2.0,-2.0,0.0987105667591095,0.06280486285686493,0.07843396067619324,0.12983283400535583,0.02027660608291626,0.028091154992580414
b1,b11,0,4,academic ambition / competitive determination,2.0,2.0,0.06337352097034454,0.06280486285686493,0.155781552195549,0.12983283400535583,-0.09240803122520447,-0.04591968655586243
b1,b11,0,5,ironic amusement,-2.0,-2.0,0.07860557734966278,0.11640074849128723,0.0747942328453064,0.1419805884361267,-0.03779517114162445,-0.016991913318634033
b1,b11,0,5,ironic amusement,-2.0,2.0,0.13087403774261475,0.11640074849128723,0.10898685455322266,0.1419805884361267,0.014473289251327515,0.018180236220359802
b1,b11,0,5,ironic amusement,2.0,-2.0,0.11003551632165909,0.14631947875022888,0.0747942328453064,0.1419805884361267,-0.036283962428569794,-0.000521339476108551
b1,b11,0,5,ironic amusement,2.0,2.0,0.12933877110481262,0.14631947875022888,0.10898685455322266,0.1419805884361267,-0.01698070764541626,0.001685604453086853
b1,b11,0,6,enthusiasm / curiosity,-2.0,-2.0,0.18747635185718536,0.19938166439533234,0.03236228600144386,0.1868261694908142,-0.011905312538146973,0.07160437665879726
b1,b11,0,6,enthusiasm / curiosity,-2.0,2.0,0.18027618527412415,0.19938166439533234,0.150996133685112,0.1868261694908142,-0.01910547912120819,0.0050872862339019775
b1,b11,0,6,enthusiasm / curiosity,2.0,-2.0,0.18411585688591003,0.1420600861310959,0.03236228600144386,0.1868261694908142,0.04205577075481415,0.09690467081964016
b1,b11,0,6,enthusiasm / curiosity,2.0,2.0,0.13928279280662537,0.1420600861310959,0.150996133685112,0.1868261694908142,-0.011713340878486633,-0.007245317101478577
b1,b11,1,0,self-doubt / encouragement,-2.0,-2.0,0.06049467250704765,0.11208950728178024,0.05631687119603157,0.08845274150371552,-0.05159483477473259,-0.023708516731858253
b1,b11,1,0,self-doubt / encouragement,-2.0,2.0,0.13245482742786407,0.11208950728178024,0.14497524499893188,0.08845274150371552,-0.01252041757106781,0.003922451287508011
b1,b11,1,0,self-doubt / encouragement,2.0,-2.0,0.1147383451461792,0.05217898637056351,0.05631687119603157,0.08845274150371552,0.05842147395014763,0.06049041636288166
b1,b11,1,0,self-doubt / encouragement,2.0,2.0,0.15146444737911224,0.05217898637056351,0.14497524499893188,0.08845274150371552,0.006489202380180359,0.05288733169436455
b1,b11,1,1,frustration / despair,-2.0,-2.0,0.10510029643774033,0.1239522248506546,0.06343475729227066,0.12093593180179596,-0.018851928412914276,0.011406805366277695
b1,b11,1,1,frustration / despair,-2.0,2.0,0.08487974852323532,0.1239522248506546,0.1380789577960968,0.12093593180179596,-0.05319920927286148,-0.04613584280014038
b1,b11,1,1,frustration / despair,2.0,-2.0,0.11295360326766968,0.15064938366413116,0.06343475729227066,0.12093593180179596,-0.03769578039646149,0.005911532789468765
b1,b11,1,1,frustration / despair,2.0,2.0,0.15007823705673218,0.15064938366413116,0.1380789577960968,0.12093593180179596,-0.0005711466073989868,0.005714066326618195
b1,b11,1,2,uncertainty / indecision,-2.0,-2.0,0.10948975384235382,0.18187493085861206,0.10482337325811386,0.15784244239330292,-0.07238517701625824,-0.03385939821600914
b1,b11,1,2,uncertainty / indecision,-2.0,2.0,0.17712369561195374,0.18187493085861206,0.23855455219745636,0.15784244239330292,-0.061430856585502625,-0.033091045916080475
b1,b11,1,2,uncertainty / indecision,2.0,-2.0,0.13649259507656097,0.19268062710762024,0.10482337325811386,0.15784244239330292,-0.056188032031059265,-0.012259405106306076
b1,b11,1,2,uncertainty / indecision,2.0,2.0,0.1855490803718567,0.19268062710762024,0.23855455219745636,0.15784244239330292,-0.05300547182559967,-0.03006850928068161
b1,b11,1,3,romantic idealism,-2.0,-2.0,-0.009621387347579002,0.02420516312122345,-0.0014720261096954346,-0.00678758230060339,-0.03382655046880245,-0.02098795585334301
b1,b11,1,3,romantic idealism,-2.0,2.0,0.008862132206559181,0.02420516312122345,0.06484638154506683,-0.00678758230060339,-0.05598424933850765,-0.03566364012658596
b1,b11,1,3,romantic idealism,2.0,-2.0,0.03778757154941559,-0.038759686052799225,-0.0014720261096954346,-0.00678758230060339,0.03925959765911102,0.05790342763066292
b1,b11,1,3,romantic idealism,2.0,2.0,0.037434909492731094,-0.038759686052799225,0.06484638154506683,-0.00678758230060339,-0.02741147205233574,0.02439156174659729
b1,b11,1,4,academic ambition / competitive determination,-2.0,-2.0,0.06488732993602753,0.10153987258672714,0.07150266319513321,0.07019902020692825,-0.036652542650699615,-0.02163393795490265
b1,b11,1,4,academic ambition / competitive determination,-2.0,2.0,0.1237221285700798,0.10153987258672714,0.08394443243741989,0.07019902020692825,0.02218225598335266,0.030979976058006287
b1,b11,1,4,academic ambition / competitive determination,2.0,-2.0,0.08517724275588989,0.10611777007579803,0.07150266319513321,0.07019902020692825,-0.020940527319908142,-0.0036329738795757294
b1,b11,1,4,academic ambition / competitive determination,2.0,2.0,0.083908811211586,0.10611777007579803,0.08394443243741989,0.07019902020692825,-0.022208958864212036,-0.011122290045022964
b1,b11,1,5,ironic amusement,-2.0,-2.0,0.07415052503347397,0.1408076286315918,0.06770225614309311,0.11188811808824539,-0.06665710359811783,-0.030104417353868484
b1,b11,1,5,ironic amusement,-2.0,2.0,0.07524902373552322,0.1408076286315918,0.14516563713550568,0.11188811808824539,-0.06991661339998245,-0.06773760914802551
b1,b11,1,5,ironic amusement,2.0,-2.0,0.10923237353563309,0.06879834830760956,0.06770225614309311,0.11188811808824539,0.04043402522802353,0.040982071310281754
b1,b11,1,5,ironic amusement,2.0,2.0,0.1415441483259201,0.06879834830760956,0.14516563713550568,0.11188811808824539,-0.0036214888095855713,0.03456215560436249
