cat_a,cat_b,i,j,alpha,beta,mean_err_i,mean_err_j,mean_resid_norm,mean_marg_norm,mean_resid_ratio,median_resid_ratio
b1,b11,1,11,-2.0,-2.0,0.06581760942935944,0.038412559777498245,0.5173161029815674,0.601824939250946,0.8634680509567261,0.8868321180343628
b1,b11,1,11,-2.0,0.0,2.3283064365386963e-10,9.313225746154785e-10,1.968658480677732e-08,0.3184281289577484,6.393700857643125e-08,6.14706721080438e-08
b1,b11,1,11,-2.0,2.0,0.0674738734960556,0.06986454129219055,0.5215258002281189,0.6036379337310791,0.8648360967636108,0.8603314161300659
b1,b11,1,11,0.0,-2.0,4.656612873077393e-10,7.566995918750763e-10,1.647853409281197e-08,0.3973241448402405,4.2206817596479596e-08,3.561889627690107e-08
b1,b11,1,11,0.0,2.0,6.984919309616089e-10,2.3865140974521637e-09,1.83425576949503e-08,0.37390390038490295,5.228813648727737e-08,4.554451393801173e-08
b1,b11,1,11,2.0,-2.0,0.058391302824020386,0.03684581071138382,0.5383774638175964,0.6618795394897461,0.8078091144561768,0.7887637615203857
b1,b11,1,11,2.0,0.0,2.3283064365386963e-09,1.3969838619232178e-09,1.8986487049232892e-08,0.35827040672302246,5.3740929928380865e-08,5.1712582660456974e-08
b1,b11,1,11,2.0,2.0,0.05970869958400726,0.04887109249830246,0.5029754042625427,0.6407580375671387,0.7843856811523438,0.7851732969284058
b11,b13,11,13,-2.0,-2.0,0.06264494359493256,0.12127304822206497,0.5243813395500183,0.663341224193573,0.783543050289154,0.7923823595046997
b11,b13,11,13,-2.0,0.0,7.566995918750763e-10,1.1641532182693481e-10,1.647853409281197e-08,0.3973241448402405,4.2206817596479596e-08,3.561889627690107e-08
b11,b13,11,13,-2.0,2.0,0.03935512155294418,0.09384165704250336,0.5159269571304321,0.6914480924606323,0.7516036629676819,0.7430988550186157
b11,b13,11,13,0.0,-2.0,6.984919309616089e-10,9.313225746154785e-10,2.0577031634161358e-08,0.3804086148738861,5.5954185285145286e-08,4.087463878477138e-08
b11,b13,11,13,0.0,2.0,1.1641532182693481e-09,1.3969838619232178e-09,2.354661532422142e-08,0.4162198007106781,8.54634691904721e-08,5.099488831206145e-08
b11,b13,11,13,2.0,-2.0,0.06809984147548676,0.1428658664226532,0.5330599546432495,0.6565600633621216,0.8149296641349792,0.7999808192253113
b11,b13,11,13,2.0,0.0,2.3865140974521637e-09,1.6298145055770874e-09,1.83425576949503e-08,0.37390390038490295,5.228813648727737e-08,4.554451393801173e-08
b11,b13,11,13,2.0,2.0,0.06978211551904678,0.0778815969824791,0.5229897499084473,0.6529146432876587,0.818690299987793,0.7866668701171875
b1,b13,1,13,-2.0,-2.0,0.045510247349739075,0.1041247546672821,0.48847895860671997,0.5915142893791199,0.8305819034576416,0.84681236743927
b1,b13,1,13,-2.0,0.0,2.3283064365386963e-10,1.1641532182693481e-09,1.968658480677732e-08,0.3184281289577484,6.393700857643125e-08,6.14706721080438e-08
b1,b13,1,13,-2.0,2.0,0.056421637535095215,0.06511437892913818,0.4515365660190582,0.592118501663208,0.8427737951278687,0.762029230594635
b1,b13,1,13,0.0,-2.0,9.313225746154785e-10,9.313225746154785e-10,2.0577031634161358e-08,0.3804086148738861,5.5954185285145286e-08,4.087463878477138e-08
