cat_a,cat_b,alpha,beta,cluster_id,cluster_name,cos_resid,cos_marg,cos_full,null_p95,norm_resid,norm_marg,norm_full
b1,b11,-2.0,-2.0,0,self-doubt / encouragement,0.05815700441598892,0.1919536590576172,-0.005825189873576164,0.04447821527719498,0.48893412947654724,0.5965410470962524,0.42498883605003357
b1,b11,-2.0,-2.0,1,frustration / despair,0.06175481155514717,0.18475136160850525,0.05452664941549301,0.04994594305753708,0.48893412947654724,0.5965410470962524,0.42498883605003357
b1,b11,-2.0,-2.0,2,uncertainty / indecision,0.08237990736961365,0.22573620080947876,-0.039158258587121964,0.040912676602602005,0.48893412947654724,0.5965410470962524,0.42498883605003357
b1,b11,-2.0,-2.0,3,romantic idealism,0.03435393422842026,0.11841626465320587,0.08900142461061478,0.05297365039587021,0.48893412947654724,0.5965410470962524,0.42498883605003357
b1,b11,-2.0,-2.0,4,academic ambition / competitive determination,0.04815397784113884,0.11553199589252472,-0.09283524006605148,0.04842482879757881,0.48893412947654724,0.5965410470962524,0.42498883605003357
b1,b11,-2.0,-2.0,5,ironic amusement,0.009007890708744526,0.18172234296798706,-0.00022960640490055084,0.04776734113693237,0.48893412947654724,0.5965410470962524,0.42498883605003357
b1,b11,-2.0,-2.0,6,enthusiasm / curiosity,-0.0051269857212901115,0.2608432471752167,-0.001185854896903038,0.041279226541519165,0.48893412947654724,0.5965410470962524,0.42498883605003357
b1,b11,-2.0,2.0,0,self-doubt / encouragement,0.014916199259459972,0.19548651576042175,-0.05656737461686134,0.04447821527719498,0.5130894780158997,0.5819534063339233,0.4242980182170868
b1,b11,-2.0,2.0,1,frustration / despair,0.002325117588043213,0.18423934280872345,-0.02078932523727417,0.04994594305753708,0.5130894780158997,0.5819534063339233,0.4242980182170868
b1,b11,-2.0,2.0,2,uncertainty / indecision,0.04708300903439522,0.23673075437545776,-0.06989659368991852,0.040912676602602005,0.5130894780158997,0.5819534063339233,0.4242980182170868
b1,b11,-2.0,2.0,3,romantic idealism,-0.06555765867233276,0.12889347970485687,-0.01941867731511593,0.05297365039587021,0.5130894780158997,0.5819534063339233,0.4242980182170868
b1,b11,-2.0,2.0,4,academic ambition / competitive determination,0.09256389737129211,0.09305831044912338,-0.0713377520442009,0.04842482879757881,0.5130894780158997,0.5819534063339233,0.4242980182170868
b1,b11,-2.0,2.0,5,ironic amusement,-0.04542051628232002,0.19902445375919342,-0.04805241897702217,0.04776734113693237,0.5130894780158997,0.5819534063339233,0.4242980182170868
b1,b11,-2.0,2.0,6,enthusiasm / curiosity,0.011133525520563126,0.23614048957824707,-0.024665839970111847,0.041279226541519165,0.5130894780158997,0.5819534063339233,0.4242980182170868
b1,b11,2.0,-2.0,0,self-doubt / encouragement,-0.025237519294023514,0.23259496688842773,0.000879509374499321,0.04447821527719498,0.4708111584186554,0.678072452545166,0.47221267223358154
b1,b11,2.0,-2.0,1,frustration / despair,-0.031005166471004486,0.19785162806510925,0.004929063841700554,0.04994594305753708,0.4708111584186554,0.678072452545166,0.47221267223358154
