component,alpha_unit,n_tokens,rep_2,rep_3,rep_4,max_run,max_run_norm,compress_ratio,unique_token_ratio,toxicity_rate,toxicity_hits,non_ascii_ratio
0,-2.0,38.75,0.2767629975031628,0.22439854943788856,0.18839981368563685,1.0,0.02605753045876415,0.6121201813485541,0.5531789266226306,0.0,0.0,0.0
0,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
0,2.0,32.0,0.10620344567712986,0.04004796233498059,0.02344877344877344,1.0,0.032033211906662425,0.7311098169604476,0.723338859101108,0.0,0.0,0.0025085208908738324
1,-2.0,35.0,0.1425171608970951,0.08855930105930106,0.060122549019607854,1.0,0.029239332279145765,0.6987629700055262,0.6767282323236412,0.0,0.0,0.001838235294117647
1,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
1,2.0,36.75,0.142873149885345,0.09007839721254356,0.05769702111613878,1.125,0.031441589703117515,0.686690736243608,0.6450377225261696,0.0,0.0,0.0012135922330097086
2,-2.0,35.375,0.10879800024536865,0.0540622940013184,0.02710573476702509,1.0,0.029383242512731226,0.7243236053149192,0.7060164787475407,0.0,0.0,0.011064833400240868
2,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
2,2.0,34.125,0.2069420345736135,0.13799884298746418,0.08692640692640692,1.125,0.03460023121969859,0.6804353746937741,0.6018722245982187,0.0,0.0,0.0
3,-2.0,34.125,0.0629600390312865,0.01725200949945195,0.0037878787878787845,1.0,0.029901512808803453,0.7324187684181847,0.7393516400997712,0.0,0.0,0.001893939393939394
3,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
3,2.0,36.75,0.20647126566244212,0.13311916955923458,0.1045866935483871,1.0,0.027378375664114378,0.6529992025385403,0.5886506883813655,0.0,0.0,0.0035919540229885057
4,-2.0,33.75,0.0949392014944297,0.025331046507033342,0.0035714285714285726,1.0,0.03431541771566926,0.6736376700395552,0.6936349286678234,0.0,0.0,0.0
4,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
4,2.0,31.125,0.13500967711392597,0.06631029097364431,0.0360016420361248,0.875,0.0251675666560535,0.643694809062012,0.5577165965735045,0.0,0.0,0.002130681818181818
5,-2.0,37.375,0.1559946472362076,0.10284547152194211,0.0760984188575652,1.125,0.030205584194071038,0.6943336728617804,0.6864368346687426,0.0,0.0,0.0017605633802816902
5,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
5,2.0,37.0,0.06507636918337384,0.02129094651222896,0.0,1.0,0.027609803091749235,0.6876157575117886,0.7169056554001475,0.0,0.0,0.0
6,-2.0,37.625,0.14073340048949806,0.06647252504722016,0.029925115207373273,1.125,0.030488053057693556,0.6745344364901793,0.6549878990814625,0.0,0.0,0.0
6,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
6,2.0,35.875,0.09806083413955681,0.05762543961073373,0.03682409843508981,1.0,0.028076003759029695,0.7019070789834049,0.6997741878424125,0.0,0.0,0.0033422459893048127
7,-2.0,34.625,0.13334902654755595,0.07739755237383321,0.04479166666666666,1.0,0.029360283899757585,0.6958291450838137,0.6931943649048912,0.0,0.0,0.003453038674033149
7,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
7,2.0,37.375,0.13229023410475027,0.06738439810430234,0.03571428571428571,1.0,0.027219322683812136,0.702468048863651,0.6779847032249815,0.0,0.0,0.0014970059880239522
8,-2.0,34.875,0.13025458494208497,0.0728221535184337,0.046861471861471854,1.0,0.02892297232124968,0.7080155972270219,0.6937709766721838,0.0,0.0,0.0018564356435643563
8,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
8,2.0,38.375,0.19586816618739145,0.10912180204934033,0.07172689640372279,1.0,0.02634207150281022,0.6499561026296204,0.6042999517007726,0.0,0.0,0.0007062146892655367
9,-2.0,39.25,0.19671486571157623,0.13589240605369637,0.1254020467836257,1.0,0.02566621736342159,0.6407082350779103,0.6127065953197771,0.0,0.0,0.0017441860465116279
9,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
9,2.0,34.5,0.08229458238381016,0.04452736965337771,0.01906728927203065,1.0,0.029449450349701898,0.7260226963867291,0.7109713718943595,0.0,0.0,0.0037313432835820895
10,-2.0,37.375,0.19758135383135383,0.15930787388865725,0.14036414565826333,1.0,0.02745913604040181,0.6422968280203797,0.6510030106250669,0.0,0.0,0.0024875621890547263
10,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
10,2.0,36.625,0.14225052795723425,0.08008976291571342,0.03867446011842564,1.0,0.02748987058259459,0.7167009473244268,0.6609134406030781,0.0,0.0,0.0015723892405063293
11,-2.0,33.125,0.17225480165370186,0.12961309523809525,0.1071937321937322,1.625,0.0717631555213792,0.6951159859330011,0.6580182701070859,0.0,0.0,0.0014204545454545455
11,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
11,2.0,37.0,0.2071340349824134,0.13225715767076063,0.08478757801338448,1.0,0.02752250937329847,0.650560419195723,0.6376376881129392,0.0,0.0,0.002551020408163265
12,-2.0,33.5,0.19186400890029923,0.14882462570895602,0.12523296387520524,1.0,0.03057090122865769,0.6514724075924416,0.610289477954258,0.0,0.0,0.0025906735751295338
12,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
12,2.0,38.625,0.21058076917451918,0.1452025561214865,0.11927083333333333,1.0,0.02615496413691028,0.6274461918847016,0.6177907550765568,0.0,0.0,0.0037985588972431076
13,-2.0,33.0,0.06839318837946284,0.024496336996336993,0.010432330827067668,0.875,0.02346279629655753,0.6488900240687152,0.6323417596524143,0.0,0.0,0.0016519823788546256
13,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
13,2.0,16.375,0.06583694083694085,0.03601190476190477,0.024999999999999994,1.0,0.09237111017002321,0.6632575198725998,0.8102455063052889,0.0,0.0,0.003472222222222222
14,-2.0,37.625,0.2218723217097891,0.18056891025641025,0.15047289761153118,1.0,0.026854607238170725,0.647268728196958,0.6153823684087314,0.0,0.0,0.005357142857142857
14,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
14,2.0,38.25,0.04740558504103398,0.012854317732366505,0.0031250000000000028,1.0,0.02646568351510212,0.7262050130817399,0.7538336133539622,0.0,0.0,0.0007102272727272727
15,-2.0,30.875,0.15520631168935112,0.11991963554463554,0.09928155401945725,1.0,0.04021819549344704,0.6492162281854092,0.6778010141303485,0.0,0.0,0.0019329896907216496
15,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
15,2.0,37.0,0.15083556156301475,0.07458393199233718,0.03392857142857143,1.0,0.02771059569409215,0.659698482589155,0.6368979465703724,0.0,0.0,0.004054054054054054
16,-2.0,39.5,0.20647727272098876,0.16133549761598542,0.13063322368421054,1.0,0.025591578048771043,0.6349879635618146,0.5987417516367637,0.0,0.0,0.0019230769230769232
16,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
16,2.0,30.0,0.039083186693480834,0.007575757575757569,0.00390625,0.875,0.026648069712094102,0.674628190386918,0.6654800518367592,0.0,0.0,0.0026455026455026454
17,-2.0,33.125,0.13642625192789665,0.0911016691814155,0.06799242424242424,1.0,0.026361231925256315,0.6228564438633312,0.5683340203157277,0.0,0.0,0.0
17,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
17,2.0,34.5,0.14657435058869284,0.0750800440513265,0.043692129629629636,1.0,0.029681729768939073,0.7066887751852401,0.661535486477347,0.0,0.0,0.004777070063694267
18,-2.0,30.875,0.328876778589626,0.2741211334961335,0.24141025641025643,0.875,0.025634963191678253,0.5041915317505707,0.4190293032738586,0.0,0.0,0.002702702702702703
18,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
18,2.0,36.875,0.10669898794898794,0.060075205295793535,0.03186725555146608,1.125,0.031142435048913217,0.721991317826856,0.7076785294885009,0.0,0.0,0.0006756756756756757
19,-2.0,36.25,0.16115448583279465,0.10039127973313532,0.060515744109494105,1.0,0.027935863956154116,0.6820403704822063,0.6378483789596069,0.0,0.0,0.0019035532994923859
19,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
19,2.0,37.5,0.1313821981326101,0.06515369804843488,0.027976190476190474,1.0,0.026813913011161088,0.689906779802943,0.6733017936524034,0.0,0.0,0.0033173635307781647
20,-2.0,28.5,0.11139478746186063,0.05105733082706766,0.030123339658444034,0.875,0.03836612347641759,0.591993592185659,0.6033892611098494,0.0,0.0,0.0034916201117318434
20,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
20,2.0,38.75,0.3087247673959168,0.25674284956720694,0.21636763332051645,1.0,0.026019372208396598,0.6030902687231784,0.5431156262711141,0.0,0.0,0.00232469512195122
21,-2.0,35.75,0.14840531398287565,0.10789667508417508,0.09057071960297766,1.0,0.028478564939066642,0.6802269221623788,0.6907271403208777,0.0,0.0,0.001893939393939394
21,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
21,2.0,37.125,0.13766751660341556,0.07625287003569074,0.05619868637110016,1.0,0.027473580038612493,0.6840345672138806,0.6670162899294735,0.0,0.0,0.000628140703517588
22,-2.0,37.0,0.3909103916113872,0.3350676048462033,0.2940651658639464,1.0,0.0340575828947922,0.511658283294874,0.4888049363340061,0.0,0.0,0.0017605633802816902
22,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
22,2.0,32.375,0.06807173460399267,0.03214285714285714,0.025735294117647065,1.0,0.032451063798047096,0.7256739788017392,0.7787635039217357,0.0,0.0,0.002702702702702703
23,-2.0,36.375,0.13513788518828843,0.09183391718970466,0.07502199857009294,1.125,0.03147233293660887,0.6843270215512519,0.6844034311776114,0.0,0.0,0.002304147465437788
23,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
23,2.0,35.875,0.17581442449738244,0.11203771085236601,0.06058423636548636,1.0,0.028296836317581224,0.6663427794102109,0.6246868909140768,0.0,0.0,0.0023006134969325155
24,-2.0,36.75,0.11244895021177612,0.055685286935286946,0.027777777777777776,1.0,0.02750190455393204,0.7016879231282132,0.7285573296730135,0.0,0.0,0.002840909090909091
24,0.0,36.875,0.158385817821994,0.0982747346901963,0.06193528693528694,1.0,0.027430673374696145,0.6714425846701426,0.658888818329046,0.0,0.0,0.002564102564102564
24,2.0,37.0,0.08598719623872063,0.04184331797235023,0.02089460784313725,1.0,0.027558744142505375,0.7107393481826224,0.6909639115592261,0.0,0.0,0.00314070351758794
