component,alpha_unit,self_delta_cosine,other_delta_cosine_mean,other_delta_cosine_absmean,specificity
13,-2.0,-0.011613840702921152,-0.00359735272359103,0.032669921537550786,-0.04428376224047194
13,-1.0,-0.0002948762848973274,-0.00427447403781116,0.029280439220989742,-0.02957531550588707
13,0.0,0.0,0.0,0.0,0.0
13,1.0,-0.015175470616668463,-0.004239197184021274,0.021957331476733087,-0.03713280209340155
13,2.0,-0.007802253821864724,-0.001578043292587002,0.03192703742533922,-0.039729291247203945
2,-2.0,0.04114164784550667,-0.0038026254701738556,0.027552713554662964,0.013588934290843704
2,-1.0,0.010536953806877136,-0.002728261814142267,0.014271516740942994,-0.003734562934065858
2,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0032238662242889404,-0.00016319162677973508,0.011947369474607209,-0.008723503250318268
2,2.0,-0.017203830182552338,-0.001879941540149351,0.0164730520065253,-0.033676882189077634
8,-2.0,-0.02797776460647583,-0.012095648535372068,0.04035158502326037,-0.06832934962973619
8,-1.0,-0.03286622557789087,-0.0018338348212031026,0.03614892177671815,-0.06901514735460902
8,0.0,0.0,0.0,0.0,0.0
8,1.0,-0.019545140210539103,-0.007330022364233931,0.017315210277835526,-0.03686035048837463
8,2.0,-0.013618678785860538,0.0026085899056245885,0.028668268118053675,-0.04228694690391421
