component,spearman_self_mean,spearman_self_min,n_prompts
0,-0.2886751345948129,-1.0,3
1,0.0,-0.5,2
2,-0.41068360252295916,-0.8660254037844387,3
3,0.16666666666666666,-0.5,3
4,0.3779915320718537,-0.8660254037844387,3
5,0.8660254037844387,0.8660254037844387,3
6,0.3333333333333333,0.0,3
7,0.788675134594813,0.5,3
8,0.9106836025229592,0.8660254037844387,3
9,-0.41068360252295916,-0.8660254037844387,3
10,0.16666666666666666,-0.8660254037844387,3
11,0.9106836025229592,0.8660254037844387,3
12,-0.16666666666666666,-1.0,3
13,-0.04465819873852043,-0.5,3
14,-0.12200846792814624,-0.8660254037844387,3
15,-0.7440169358562926,-0.8660254037844387,3
