component,alpha_unit,self_delta_cosine,other_delta_cosine_mean,other_delta_cosine_absmean,specificity
0,-2.0,0.01919953152537346,0.004699930114050706,0.017085893555647796,0.0021136379697256624
0,0.0,0.0,0.0,0.0,0.0
0,2.0,-0.03523006538550059,0.00020119858284791312,0.030480487272143364,-0.06571055265764394
1,-2.0,0.023888389269510906,0.0002243174860874812,0.035206431191828515,-0.011318041922317609
1,0.0,0.0,0.0,0.0,0.0
1,2.0,0.02198576678832372,0.00039790925673312613,0.022288698009732696,-0.0003029312214089773
2,-2.0,-0.029847363630930584,0.0013376279009713068,0.04170257192518976,-0.07154993555612034
2,0.0,0.0,0.0,0.0,0.0
2,2.0,-0.001838703950246175,-0.00011228577544291814,0.0005836027570896679,-0.002422306707335843
3,-2.0,-0.07102612157662709,0.013545341996683015,0.06364545900788572,-0.1346715805845128
3,0.0,0.0,0.0,0.0,0.0
3,2.0,0.01450762152671814,0.00016120897812975778,0.033053332360254394,-0.018545710833536254
4,-2.0,-0.010176222771406174,0.0009484857320785523,0.028877698298957612,-0.03905392107036379
4,0.0,0.0,0.0,0.0,0.0
4,2.0,0.003572231779495875,0.0001760665223830276,0.030214868930892813,-0.026642637151396937
5,-2.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
5,2.0,0.0467392032345136,0.0013533624613450634,0.04009599181719952,0.006643211417314082
6,-2.0,-0.021226145947972935,0.0023036597813997006,0.03660423046805793,-0.057830376416030865
6,0.0,0.0,0.0,0.0,0.0
6,2.0,-0.0048294321944316225,0.002639925221188201,0.028176787236912384,-0.033006219431344005
7,-2.0,-0.023721327384312946,0.003832970331940386,0.038536783845888246,-0.062258111230201196
7,0.0,0.0,0.0,0.0,0.0
7,2.0,0.02090914050738017,-0.005794410469631354,0.01513913640131553,0.005770004106064638
8,-2.0,-0.038010833164056144,0.005477839118490617,0.052387568840963974,-0.09039840200502011
8,0.0,0.0,0.0,0.0,0.0
8,2.0,0.009177653739849726,0.001406285704837905,0.016461477966772185,-0.0072838242269224595
9,-2.0,0.0066321246946851415,0.006814992148429155,0.038900000281218025,-0.032267875586532886
9,0.0,0.0,0.0,0.0,0.0
9,2.0,0.0009389727686842283,-0.0001695544355445438,0.00046871966785854764,0.00047025310082568066
10,-2.0,-0.008618010208010674,-0.0018483931923078166,0.017600839926550784,-0.026218850134561458
10,0.0,0.0,0.0,0.0,0.0
10,2.0,0.006758037644128005,-3.118978606330024e-05,0.06246954119867749,-0.055711503554549485
11,-2.0,-0.002197646846373876,-0.0007367893846498596,0.03945177203665177,-0.041649418883025646
11,0.0,0.0,0.0,0.0,0.0
11,2.0,0.0029151340325673423,-0.000709877432220512,0.019573566959136063,-0.016658432926568722
12,-2.0,-0.026978153735399246,0.0003237638519042068,0.04925657159959276,-0.07623472533499201
12,0.0,0.0,0.0,0.0,0.0
12,2.0,-0.04098512356479963,0.004525677994307545,0.02921385910982887,-0.0701989826746285
13,-2.0,0.007237723718086879,-0.0008705819646517436,0.012296072269479433,-0.005058348551392555
13,0.0,0.0,0.0,0.0,0.0
13,2.0,-0.00782341385881106,-0.008919360902574327,0.013674079295661714,-0.021497493154472774
14,-2.0,0.015951418007413547,-0.012145451849533452,0.02441943521714873,-0.008468017209735182
14,0.0,0.0,0.0,0.0,0.0
14,2.0,0.03709333389997482,-0.0041935165309243735,0.03646088848925299,0.0006324454107218339
15,-2.0,-5.917499462763468e-05,-0.00023092103915082083,0.0007022380207975706,-0.0007614130154252052
15,0.0,0.0,0.0,0.0,0.0
15,2.0,-0.043509978180130325,0.005576968979504373,0.061876987376146844,-0.10538696555627716
