cat_a,cat_b,alpha,beta,prompt_id,cluster_id,cluster_name,cos
anger,fear,-2.0,-2.0,0,0,self-doubt / encouragement,0.20526054501533508
anger,fear,-2.0,-2.0,0,1,frustration / despair,0.17018981277942657
anger,fear,-2.0,-2.0,0,2,uncertainty / indecision,0.20935148000717163
anger,fear,-2.0,-2.0,0,3,romantic idealism,0.021431617438793182
anger,fear,-2.0,-2.0,0,4,academic ambition / competitive determination,0.13145127892494202
anger,fear,-2.0,-2.0,0,5,ironic amusement,0.2175980806350708
anger,fear,-2.0,-2.0,0,6,enthusiasm / curiosity,0.20904898643493652
anger,fear,-2.0,-2.0,1,0,self-doubt / encouragement,0.14961783587932587
anger,fear,-2.0,-2.0,1,1,frustration / despair,0.1577862948179245
anger,fear,-2.0,-2.0,1,2,uncertainty / indecision,0.17379043996334076
anger,fear,-2.0,-2.0,1,3,romantic idealism,0.06038453057408333
anger,fear,-2.0,-2.0,1,4,academic ambition / competitive determination,0.06802672147750854
anger,fear,-2.0,-2.0,1,5,ironic amusement,0.12757083773612976
anger,fear,-2.0,-2.0,1,6,enthusiasm / curiosity,0.14863082766532898
anger,fear,-2.0,-2.0,2,0,self-doubt / encouragement,0.17494970560073853
anger,fear,-2.0,-2.0,2,1,frustration / despair,0.10684092342853546
anger,fear,-2.0,-2.0,2,2,uncertainty / indecision,0.1948155164718628
anger,fear,-2.0,-2.0,2,3,romantic idealism,0.061302684247493744
anger,fear,-2.0,-2.0,2,4,academic ambition / competitive determination,0.1644645482301712
anger,fear,-2.0,-2.0,2,5,ironic amusement,0.13489870727062225
anger,fear,-2.0,-2.0,2,6,enthusiasm / curiosity,0.17144039273262024
anger,fear,-2.0,-2.0,3,0,self-doubt / encouragement,0.08840607851743698
anger,fear,-2.0,-2.0,3,1,frustration / despair,0.10028690099716187
anger,fear,-2.0,-2.0,3,2,uncertainty / indecision,0.11817175149917603
anger,fear,-2.0,-2.0,3,3,romantic idealism,0.07144465297460556
anger,fear,-2.0,-2.0,3,4,academic ambition / competitive determination,0.06305041164159775
anger,fear,-2.0,-2.0,3,5,ironic amusement,0.13417625427246094
anger,fear,-2.0,-2.0,3,6,enthusiasm / curiosity,0.10549486428499222
anger,fear,-2.0,-2.0,4,0,self-doubt / encouragement,0.13157841563224792
anger,fear,-2.0,-2.0,4,1,frustration / despair,0.05243239924311638
anger,fear,-2.0,-2.0,4,2,uncertainty / indecision,0.15582172572612762
anger,fear,-2.0,-2.0,4,3,romantic idealism,0.05722983554005623
anger,fear,-2.0,-2.0,4,4,academic ambition / competitive determination,0.13447821140289307
anger,fear,-2.0,-2.0,4,5,ironic amusement,0.05432502552866936
anger,fear,-2.0,-2.0,4,6,enthusiasm / curiosity,0.10760078579187393
anger,fear,-2.0,-2.0,5,0,self-doubt / encouragement,0.14537128806114197
anger,fear,-2.0,-2.0,5,1,frustration / despair,0.1176389679312706
anger,fear,-2.0,-2.0,5,2,uncertainty / indecision,0.14984184503555298
anger,fear,-2.0,-2.0,5,3,romantic idealism,0.05132035166025162
anger,fear,-2.0,-2.0,5,4,academic ambition / competitive determination,0.0698801726102829
anger,fear,-2.0,-2.0,5,5,ironic amusement,0.17298725247383118
anger,fear,-2.0,-2.0,5,6,enthusiasm / curiosity,0.16618967056274414
anger,fear,-2.0,-2.0,6,0,self-doubt / encouragement,0.12840406596660614
anger,fear,-2.0,-2.0,6,1,frustration / despair,0.11961888521909714
anger,fear,-2.0,-2.0,6,2,uncertainty / indecision,0.14974530041217804
anger,fear,-2.0,-2.0,6,3,romantic idealism,0.007385706529021263
anger,fear,-2.0,-2.0,6,4,academic ambition / competitive determination,0.13933813571929932
anger,fear,-2.0,-2.0,6,5,ironic amusement,0.12077575922012329
anger,fear,-2.0,-2.0,6,6,enthusiasm / curiosity,0.20262844860553741
anger,fear,-2.0,-2.0,7,0,self-doubt / encouragement,0.2939532399177551
anger,fear,-2.0,-2.0,7,1,frustration / despair,0.34492677450180054
anger,fear,-2.0,-2.0,7,2,uncertainty / indecision,0.39849424362182617
anger,fear,-2.0,-2.0,7,3,romantic idealism,0.17476359009742737
anger,fear,-2.0,-2.0,7,4,academic ambition / competitive determination,0.2899567782878876
anger,fear,-2.0,-2.0,7,5,ironic amusement,0.2867128849029541
anger,fear,-2.0,-2.0,7,6,enthusiasm / curiosity,0.3336951732635498
