cat_a,cat_b,prompt_id,cluster_id,cluster_name,alpha,beta,cos_joint,cos_marg_a,cos_marg_b,cos_baseline,joint_minus_marg_max,joint_minus_marg_avg
anger,fear,0,0,self-doubt / encouragement,-2.0,-2.0,0.20526054501533508,0.21378503739833832,0.2579997777938843,0.2579997777938843,-0.052739232778549194,-0.030631862580776215
anger,fear,0,0,self-doubt / encouragement,-2.0,2.0,0.1917426884174347,0.21378503739833832,0.17587535083293915,0.2579997777938843,-0.022042348980903625,-0.0030875056982040405
anger,fear,0,0,self-doubt / encouragement,2.0,-2.0,0.17711129784584045,0.21284502744674683,0.2579997777938843,0.2579997777938843,-0.08088847994804382,-0.0583111047744751
anger,fear,0,0,self-doubt / encouragement,2.0,2.0,0.16673703491687775,0.21284502744674683,0.17587535083293915,0.2579997777938843,-0.04610799252986908,-0.02762315422296524
anger,fear,0,1,frustration / despair,-2.0,-2.0,0.17018981277942657,0.19184617698192596,0.1789245754480362,0.1789245754480362,-0.02165636420249939,-0.015195563435554504
anger,fear,0,1,frustration / despair,-2.0,2.0,0.16839700937271118,0.19184617698192596,0.17068102955818176,0.1789245754480362,-0.023449167609214783,-0.012866593897342682
anger,fear,0,1,frustration / despair,2.0,-2.0,0.21496239304542542,0.1304447203874588,0.1789245754480362,0.1789245754480362,0.03603781759738922,0.06027774512767792
anger,fear,0,1,frustration / despair,2.0,2.0,0.19277271628379822,0.1304447203874588,0.17068102955818176,0.1789245754480362,0.022091686725616455,0.042209841310977936
anger,fear,0,2,uncertainty / indecision,-2.0,-2.0,0.20935148000717163,0.2423609495162964,0.29390186071395874,0.29390186071395874,-0.08455038070678711,-0.05877992510795593
anger,fear,0,2,uncertainty / indecision,-2.0,2.0,0.14574716985225677,0.2423609495162964,0.15906034409999847,0.29390186071395874,-0.09661377966403961,-0.054963476955890656
anger,fear,0,2,uncertainty / indecision,2.0,-2.0,0.19592401385307312,0.2458190619945526,0.29390186071395874,0.29390186071395874,-0.09797784686088562,-0.07393644750118256
anger,fear,0,2,uncertainty / indecision,2.0,2.0,0.1866322159767151,0.2458190619945526,0.15906034409999847,0.29390186071395874,-0.059186846017837524,-0.015807487070560455
anger,fear,0,3,romantic idealism,-2.0,-2.0,0.021431617438793182,0.06062449514865875,0.09816206246614456,0.09816206246614456,-0.07673044502735138,-0.057961661368608475
anger,fear,0,3,romantic idealism,-2.0,2.0,0.048949822783470154,0.06062449514865875,0.10870297253131866,0.09816206246614456,-0.05975314974784851,-0.035713911056518555
anger,fear,0,3,romantic idealism,2.0,-2.0,0.008179385215044022,0.10900553315877914,0.09816206246614456,0.09816206246614456,-0.10082614794373512,-0.09540441259741783
anger,fear,0,3,romantic idealism,2.0,2.0,0.04324130341410637,0.10900553315877914,0.10870297253131866,0.09816206246614456,-0.06576422974467278,-0.06561294943094254
anger,fear,0,4,academic ambition / competitive determination,-2.0,-2.0,0.13145127892494202,0.1157606989145279,0.1298098862171173,0.1298098862171173,0.001641392707824707,0.008665986359119415
anger,fear,0,4,academic ambition / competitive determination,-2.0,2.0,0.08717110753059387,0.1157606989145279,0.046992767602205276,0.1298098862171173,-0.02858959138393402,0.005794374272227287
anger,fear,0,4,academic ambition / competitive determination,2.0,-2.0,0.07444795221090317,0.09882301092147827,0.1298098862171173,0.1298098862171173,-0.05536193400621414,-0.03986849635839462
anger,fear,0,4,academic ambition / competitive determination,2.0,2.0,0.11246539652347565,0.09882301092147827,0.046992767602205276,0.1298098862171173,0.013642385601997375,0.03955750726163387
anger,fear,0,5,ironic amusement,-2.0,-2.0,0.2175980806350708,0.1250118464231491,0.1419863998889923,0.1419863998889923,0.07561168074607849,0.08409895747900009
anger,fear,0,5,ironic amusement,-2.0,2.0,0.10677631944417953,0.1250118464231491,0.07731746882200241,0.1419863998889923,-0.018235526978969574,0.005611661821603775
anger,fear,0,5,ironic amusement,2.0,-2.0,0.14283762872219086,0.1224302351474762,0.1419863998889923,0.1419863998889923,0.0008512288331985474,0.010629311203956604
anger,fear,0,5,ironic amusement,2.0,2.0,0.09457536786794662,0.1224302351474762,0.07731746882200241,0.1419863998889923,-0.02785486727952957,-0.005298484116792679
anger,fear,0,6,enthusiasm / curiosity,-2.0,-2.0,0.20904898643493652,0.1549644023180008,0.18679481744766235,0.18679481744766235,0.02225416898727417,0.03816937655210495
anger,fear,0,6,enthusiasm / curiosity,-2.0,2.0,0.12813961505889893,0.1549644023180008,0.13171570003032684,0.18679481744766235,-0.026824787259101868,-0.015200436115264893
anger,fear,0,6,enthusiasm / curiosity,2.0,-2.0,0.14291788637638092,0.14364448189735413,0.18679481744766235,0.18679481744766235,-0.04387693107128143,-0.02230176329612732
anger,fear,0,6,enthusiasm / curiosity,2.0,2.0,0.16297590732574463,0.14364448189735413,0.13171570003032684,0.18679481744766235,0.019331425428390503,0.025295816361904144
anger,fear,1,0,self-doubt / encouragement,-2.0,-2.0,0.14961783587932587,0.05908381938934326,0.10924135148525238,0.08845274150371552,0.040376484394073486,0.06545525044202805
anger,fear,1,0,self-doubt / encouragement,-2.0,2.0,0.12195132672786713,0.05908381938934326,0.15911740064620972,0.08845274150371552,-0.03716607391834259,0.012850716710090637
anger,fear,1,0,self-doubt / encouragement,2.0,-2.0,0.10528334975242615,0.1372314840555191,0.10924135148525238,0.08845274150371552,-0.03194813430309296,-0.017953068017959595
anger,fear,1,0,self-doubt / encouragement,2.0,2.0,0.1474607288837433,0.1372314840555191,0.15911740064620972,0.08845274150371552,-0.01165667176246643,-0.0007137134671211243
anger,fear,1,1,frustration / despair,-2.0,-2.0,0.1577862948179245,0.08640670776367188,0.11108601838350296,0.12093593180179596,0.04670027643442154,0.05903993174433708
anger,fear,1,1,frustration / despair,-2.0,2.0,0.1259993314743042,0.08640670776367188,0.18338552117347717,0.12093593180179596,-0.057386189699172974,-0.008896782994270325
anger,fear,1,1,frustration / despair,2.0,-2.0,0.11092164367437363,0.1495278775691986,0.11108601838350296,0.12093593180179596,-0.03860623389482498,-0.019385304301977158
anger,fear,1,1,frustration / despair,2.0,2.0,0.15300090610980988,0.1495278775691986,0.18338552117347717,0.12093593180179596,-0.030384615063667297,-0.013455793261528015
anger,fear,1,2,uncertainty / indecision,-2.0,-2.0,0.17379043996334076,0.14380322396755219,0.19293516874313354,0.1579023152589798,-0.019144728779792786,0.005421243607997894
anger,fear,1,2,uncertainty / indecision,-2.0,2.0,0.17901310324668884,0.14380322396755219,0.18819817900657654,0.1579023152589798,-0.009185075759887695,0.013012401759624481
anger,fear,1,2,uncertainty / indecision,2.0,-2.0,0.14275315403938293,0.15697774291038513,0.19293516874313354,0.1579023152589798,-0.05018201470375061,-0.032203301787376404
anger,fear,1,2,uncertainty / indecision,2.0,2.0,0.19879493117332458,0.15697774291038513,0.18819817900657654,0.1579023152589798,0.010596752166748047,0.02620697021484375
anger,fear,1,3,romantic idealism,-2.0,-2.0,0.06038453057408333,-0.0004500128561630845,0.02738611400127411,-0.006807968486100435,0.03299841657280922,0.046916480001527816
anger,fear,1,3,romantic idealism,-2.0,2.0,0.047849901020526886,-0.0004500128561630845,0.06501414626836777,-0.006807968486100435,-0.01716424524784088,0.015567834314424545
anger,fear,1,3,romantic idealism,2.0,-2.0,0.010319828055799007,0.039697278290987015,0.02738611400127411,-0.006807968486100435,-0.029377450235188007,-0.023221868090331554
anger,fear,1,3,romantic idealism,2.0,2.0,0.039987653493881226,0.039697278290987015,0.06501414626836777,-0.006807968486100435,-0.025026492774486542,-0.012368058785796165
anger,fear,1,4,academic ambition / competitive determination,-2.0,-2.0,0.06802672147750854,0.08119083195924759,0.09196264296770096,0.07018128782510757,-0.023935921490192413,-0.01855001598596573
anger,fear,1,4,academic ambition / competitive determination,-2.0,2.0,0.05254542455077171,0.08119083195924759,0.1428396999835968,0.07018128782510757,-0.09029427543282509,-0.05946984142065048
anger,fear,1,4,academic ambition / competitive determination,2.0,-2.0,0.10390657931566238,0.1076546460390091,0.09196264296770096,0.07018128782510757,-0.00374806672334671,0.004097934812307358
anger,fear,1,4,academic ambition / competitive determination,2.0,2.0,0.15082867443561554,0.1076546460390091,0.1428396999835968,0.07018128782510757,0.007988974452018738,0.02558150142431259
anger,fear,1,5,ironic amusement,-2.0,-2.0,0.12757083773612976,0.1015855073928833,0.12647168338298798,0.1118372306227684,0.0010991543531417847,0.013542242348194122
anger,fear,1,5,ironic amusement,-2.0,2.0,0.08762183040380478,0.1015855073928833,0.15843820571899414,0.1118372306227684,-0.07081637531518936,-0.04239002615213394
anger,fear,1,5,ironic amusement,2.0,-2.0,0.1227639764547348,0.13755548000335693,0.12647168338298798,0.1118372306227684,-0.014791503548622131,-0.009249605238437653
anger,fear,1,5,ironic amusement,2.0,2.0,0.16416770219802856,0.13755548000335693,0.15843820571899414,0.1118372306227684,0.005729496479034424,0.016170859336853027
anger,fear,1,6,enthusiasm / curiosity,-2.0,-2.0,0.14863082766532898,0.09306027740240097,0.09957394748926163,0.10050424188375473,0.04905688017606735,0.05231371521949768
anger,fear,1,6,enthusiasm / curiosity,-2.0,2.0,0.18528114259243011,0.09306027740240097,0.20069795846939087,0.10050424188375473,-0.015416815876960754,0.038402024656534195
anger,fear,1,6,enthusiasm / curiosity,2.0,-2.0,0.11675653606653214,0.16734068095684052,0.09957394748926163,0.10050424188375473,-0.05058414489030838,-0.016700778156518936
anger,fear,1,6,enthusiasm / curiosity,2.0,2.0,0.1959042102098465,0.16734068095684052,0.20069795846939087,0.10050424188375473,-0.0047937482595443726,0.011884890496730804
anger,fear,2,0,self-doubt / encouragement,-2.0,-2.0,0.17494970560073853,0.11203654110431671,0.13851650059223175,0.11809313297271729,0.036433205008506775,0.049673184752464294
anger,fear,2,0,self-doubt / encouragement,-2.0,2.0,0.16618213057518005,0.11203654110431671,0.12674054503440857,0.11809313297271729,0.039441585540771484,0.04679358750581741
anger,fear,2,0,self-doubt / encouragement,2.0,-2.0,0.11246195435523987,0.16848070919513702,0.13851650059223175,0.11809313297271729,-0.056018754839897156,-0.04103665053844452
anger,fear,2,0,self-doubt / encouragement,2.0,2.0,0.2648674249649048,0.16848070919513702,0.12674054503440857,0.11809313297271729,0.09638671576976776,0.11725679785013199
anger,fear,2,1,frustration / despair,-2.0,-2.0,0.10684092342853546,0.08629456162452698,0.08928446471691132,0.08123224973678589,0.017556458711624146,0.019051410257816315
anger,fear,2,1,frustration / despair,-2.0,2.0,0.06457264721393585,0.08629456162452698,0.06934133172035217,0.08123224973678589,-0.021721914410591125,-0.013245299458503723
anger,fear,2,1,frustration / despair,2.0,-2.0,0.08880400657653809,0.03958519175648689,0.08928446471691132,0.08123224973678589,-0.00048045814037323,0.02436917833983898
anger,fear,2,1,frustration / despair,2.0,2.0,0.06768158078193665,0.03958519175648689,0.06934133172035217,0.08123224973678589,-0.0016597509384155273,0.013218319043517113
anger,fear,2,2,uncertainty / indecision,-2.0,-2.0,0.1948155164718628,0.150186687707901,0.17251801490783691,0.16268309950828552,0.02229750156402588,0.033463165163993835
anger,fear,2,2,uncertainty / indecision,-2.0,2.0,0.10437891632318497,0.150186687707901,0.05134817957878113,0.16268309950828552,-0.045807771384716034,0.0036114826798439026
anger,fear,2,2,uncertainty / indecision,2.0,-2.0,0.1562202274799347,0.09163138270378113,0.17251801490783691,0.16268309950828552,-0.01629778742790222,0.02414552867412567
anger,fear,2,2,uncertainty / indecision,2.0,2.0,0.15356798470020294,0.09163138270378113,0.05134817957878113,0.16268309950828552,0.061936601996421814,0.08207820355892181
anger,fear,2,3,romantic idealism,-2.0,-2.0,0.061302684247493744,0.05919823423027992,0.050403691828250885,0.08184073120355606,0.0021044500172138214,0.00650172121822834
anger,fear,2,3,romantic idealism,-2.0,2.0,0.11313727498054504,0.05919823423027992,0.0494811125099659,0.08184073120355606,0.05393904075026512,0.058797601610422134
anger,fear,2,3,romantic idealism,2.0,-2.0,0.06515420228242874,0.149385005235672,0.050403691828250885,0.08184073120355606,-0.08423080295324326,-0.0347401462495327
anger,fear,2,3,romantic idealism,2.0,2.0,0.11569038033485413,0.149385005235672,0.0494811125099659,0.08184073120355606,-0.03369462490081787,0.01625732146203518
anger,fear,2,4,academic ambition / competitive determination,-2.0,-2.0,0.1644645482301712,0.19814075529575348,0.19722029566764832,0.22492694854736328,-0.033676207065582275,-0.033215977251529694
anger,fear,2,4,academic ambition / competitive determination,-2.0,2.0,0.1512811779975891,0.19814075529575348,0.05046037957072258,0.22492694854736328,-0.04685957729816437,0.026980610564351082
anger,fear,2,4,academic ambition / competitive determination,2.0,-2.0,0.1943763643503189,0.07411760836839676,0.19722029566764832,0.22492694854736328,-0.0028439313173294067,0.05870741233229637
anger,fear,2,4,academic ambition / competitive determination,2.0,2.0,0.17159515619277954,0.07411760836839676,0.05046037957072258,0.22492694854736328,0.09747754782438278,0.10930616222321987
anger,fear,2,5,ironic amusement,-2.0,-2.0,0.13489870727062225,0.05877523869276047,0.048356328159570694,0.0756302997469902,0.07612346857786179,0.08133292384445667
anger,fear,2,5,ironic amusement,-2.0,2.0,0.10528578609228134,0.05877523869276047,0.008855702355504036,0.0756302997469902,0.046510547399520874,0.07147031556814909
anger,fear,2,5,ironic amusement,2.0,-2.0,0.060144707560539246,0.14601309597492218,0.048356328159570694,0.0756302997469902,-0.08586838841438293,-0.03704000450670719
anger,fear,2,5,ironic amusement,2.0,2.0,0.04272812604904175,0.14601309597492218,0.008855702355504036,0.0756302997469902,-0.10328496992588043,-0.03470627311617136
anger,fear,2,6,enthusiasm / curiosity,-2.0,-2.0,0.17144039273262024,0.12807020545005798,0.14655113220214844,0.16488052904605865,0.024889260530471802,0.03412972390651703
anger,fear,2,6,enthusiasm / curiosity,-2.0,2.0,0.20101980865001678,0.12807020545005798,0.13807103037834167,0.16488052904605865,0.06294877827167511,0.06794919073581696
anger,fear,2,6,enthusiasm / curiosity,2.0,-2.0,0.11963852494955063,0.2261088788509369,0.14655113220214844,0.16488052904605865,-0.10647035390138626,-0.06669148057699203
anger,fear,2,6,enthusiasm / curiosity,2.0,2.0,0.16578282415866852,0.2261088788509369,0.13807103037834167,0.16488052904605865,-0.06032605469226837,-0.016307130455970764
anger,fear,3,0,self-doubt / encouragement,-2.0,-2.0,0.08840607851743698,0.04968643561005592,0.06093175336718559,0.05243324488401413,0.02747432515025139,0.03309698402881622
anger,fear,3,0,self-doubt / encouragement,-2.0,2.0,0.04754674807190895,0.04968643561005592,0.056468408554792404,0.05243324488401413,-0.008921660482883453,-0.005530674010515213
anger,fear,3,0,self-doubt / encouragement,2.0,-2.0,0.15437836945056915,0.051011670380830765,0.06093175336718559,0.05243324488401413,0.09344661608338356,0.09840665757656097
anger,fear,3,0,self-doubt / encouragement,2.0,2.0,0.120909683406353,0.051011670380830765,0.056468408554792404,0.05243324488401413,0.06444127485156059,0.06716964393854141
anger,fear,3,1,frustration / despair,-2.0,-2.0,0.10028690099716187,0.10011174529790878,0.10251928865909576,0.09356782585382462,-0.002232387661933899,-0.0010286159813404083
anger,fear,3,1,frustration / despair,-2.0,2.0,0.09557820856571198,0.10011174529790878,0.10151947289705276,0.09356782585382462,-0.00594126433134079,-0.005237400531768799
anger,fear,3,1,frustration / despair,2.0,-2.0,0.12698981165885925,0.0911153182387352,0.10251928865909576,0.09356782585382462,0.02447052299976349,0.03017250820994377
anger,fear,3,1,frustration / despair,2.0,2.0,0.1523641049861908,0.0911153182387352,0.10151947289705276,0.09356782585382462,0.05084463208913803,0.056046709418296814
anger,fear,3,2,uncertainty / indecision,-2.0,-2.0,0.11817175149917603,0.128189817070961,0.16539502143859863,0.12729161977767944,-0.04722326993942261,-0.02862066775560379
anger,fear,3,2,uncertainty / indecision,-2.0,2.0,0.12335959076881409,0.128189817070961,0.13756822049617767,0.12729161977767944,-0.014208629727363586,-0.009519428014755249
anger,fear,3,2,uncertainty / indecision,2.0,-2.0,0.16307567059993744,0.1257820725440979,0.16539502143859863,0.12729161977767944,-0.002319350838661194,0.017487123608589172
anger,fear,3,2,uncertainty / indecision,2.0,2.0,0.18306568264961243,0.1257820725440979,0.13756822049617767,0.12729161977767944,0.04549746215343475,0.05139053612947464
anger,fear,3,3,romantic idealism,-2.0,-2.0,0.07144465297460556,0.038999758660793304,0.03413036838173866,0.030825095251202583,0.032444894313812256,0.03487958945333958
anger,fear,3,3,romantic idealism,-2.0,2.0,0.020721442997455597,0.038999758660793304,0.03691897913813591,0.030825095251202583,-0.018278315663337708,-0.01723792590200901
anger,fear,3,3,romantic idealism,2.0,-2.0,0.04210587963461876,0.03458606079220772,0.03413036838173866,0.030825095251202583,0.007519818842411041,0.007747665047645569
anger,fear,3,3,romantic idealism,2.0,2.0,0.05219312012195587,0.03458606079220772,0.03691897913813591,0.030825095251202583,0.015274140983819962,0.016440600156784058
anger,fear,3,4,academic ambition / competitive determination,-2.0,-2.0,0.06305041164159775,0.04337547719478607,0.0693514347076416,0.0544109046459198,-0.006301023066043854,0.006686955690383911
anger,fear,3,4,academic ambition / competitive determination,-2.0,2.0,0.04710391163825989,0.04337547719478607,0.058205537497997284,0.0544109046459198,-0.011101625859737396,-0.00368659570813179
anger,fear,3,4,academic ambition / competitive determination,2.0,-2.0,0.09551846981048584,0.04760643094778061,0.0693514347076416,0.0544109046459198,0.02616703510284424,0.037039536982774734
anger,fear,3,4,academic ambition / competitive determination,2.0,2.0,0.1000576764345169,0.04760643094778061,0.058205537497997284,0.0544109046459198,0.04185213893651962,0.04715169221162796
anger,fear,3,5,ironic amusement,-2.0,-2.0,0.13417625427246094,0.11101477593183517,0.09954050928354263,0.11290410161018372,0.023161478340625763,0.028898611664772034
anger,fear,3,5,ironic amusement,-2.0,2.0,0.11765428632497787,0.11101477593183517,0.11789689213037491,0.11290410161018372,-0.0002426058053970337,0.0031984522938728333
anger,fear,3,5,ironic amusement,2.0,-2.0,0.11220350861549377,0.13287468254566193,0.09954050928354263,0.11290410161018372,-0.020671173930168152,-0.004004087299108505
anger,fear,3,5,ironic amusement,2.0,2.0,0.14408369362354279,0.13287468254566193,0.11789689213037491,0.11290410161018372,0.01120901107788086,0.01869790628552437
anger,fear,3,6,enthusiasm / curiosity,-2.0,-2.0,0.10549486428499222,0.12609483301639557,0.11298248916864395,0.11533231288194656,-0.02059996873140335,-0.014043796807527542
anger,fear,3,6,enthusiasm / curiosity,-2.0,2.0,0.1399705857038498,0.12609483301639557,0.12192412465810776,0.11533231288194656,0.013875752687454224,0.01596110686659813
anger,fear,3,6,enthusiasm / curiosity,2.0,-2.0,0.1803779900074005,0.11680193990468979,0.11298248916864395,0.11533231288194656,0.06357605010271072,0.06548577547073364
anger,fear,3,6,enthusiasm / curiosity,2.0,2.0,0.19315184652805328,0.11680193990468979,0.12192412465810776,0.11533231288194656,0.07122772186994553,0.07378881424665451
anger,fear,4,0,self-doubt / encouragement,-2.0,-2.0,0.13157841563224792,0.11651457846164703,0.08728994429111481,0.09420821070671082,0.015063837170600891,0.029676154255867004
anger,fear,4,0,self-doubt / encouragement,-2.0,2.0,0.08944772183895111,0.11651457846164703,0.12873487174510956,0.09420821070671082,-0.03928714990615845,-0.033177003264427185
anger,fear,4,0,self-doubt / encouragement,2.0,-2.0,0.047523338347673416,0.10837101191282272,0.08728994429111481,0.09420821070671082,-0.06084767356514931,-0.05030713975429535
anger,fear,4,0,self-doubt / encouragement,2.0,2.0,0.1634911149740219,0.10837101191282272,0.12873487174510956,0.09420821070671082,0.034756243228912354,0.04493817314505577
anger,fear,4,1,frustration / despair,-2.0,-2.0,0.05243239924311638,0.07814192771911621,0.06173887848854065,0.08754955232143402,-0.025709528475999832,-0.01750800386071205
anger,fear,4,1,frustration / despair,-2.0,2.0,0.08179184794425964,0.07814192771911621,0.13585512340068817,0.08754955232143402,-0.05406327545642853,-0.025206677615642548
anger,fear,4,1,frustration / despair,2.0,-2.0,0.06025748699903488,0.08957935869693756,0.06173887848854065,0.08754955232143402,-0.02932187169790268,-0.015401631593704224
anger,fear,4,1,frustration / despair,2.0,2.0,0.12530265748500824,0.08957935869693756,0.13585512340068817,0.08754955232143402,-0.010552465915679932,0.012585416436195374
anger,fear,4,2,uncertainty / indecision,-2.0,-2.0,0.15582172572612762,0.16940926015377045,0.16229671239852905,0.1750241070985794,-0.013587534427642822,-0.010031260550022125
anger,fear,4,2,uncertainty / indecision,-2.0,2.0,0.16639186441898346,0.16940926015377045,0.18124794960021973,0.1750241070985794,-0.014856085181236267,-0.008936740458011627
anger,fear,4,2,uncertainty / indecision,2.0,-2.0,0.1252475380897522,0.16728493571281433,0.16229671239852905,0.1750241070985794,-0.042037397623062134,-0.039543285965919495
anger,fear,4,2,uncertainty / indecision,2.0,2.0,0.15949563682079315,0.16728493571281433,0.18124794960021973,0.1750241070985794,-0.021752312779426575,-0.014770805835723877
anger,fear,4,3,romantic idealism,-2.0,-2.0,0.05722983554005623,0.10259468853473663,0.05726369470357895,0.0778314620256424,-0.045364852994680405,-0.022699356079101562
anger,fear,4,3,romantic idealism,-2.0,2.0,0.09807264059782028,0.10259468853473663,0.11147821694612503,0.0778314620256424,-0.013405576348304749,-0.00896381214261055
anger,fear,4,3,romantic idealism,2.0,-2.0,0.029348846524953842,0.07812293618917465,0.05726369470357895,0.0778314620256424,-0.04877408966422081,-0.03834446892142296
anger,fear,4,3,romantic idealism,2.0,2.0,0.11361384391784668,0.07812293618917465,0.11147821694612503,0.0778314620256424,0.002135626971721649,0.01881326735019684
anger,fear,4,4,academic ambition / competitive determination,-2.0,-2.0,0.13447821140289307,0.16521799564361572,0.10703927278518677,0.17608575522899628,-0.030739784240722656,-0.0016504228115081787
anger,fear,4,4,academic ambition / competitive determination,-2.0,2.0,0.1906457543373108,0.16521799564361572,0.14391951262950897,0.17608575522899628,0.02542775869369507,0.036077000200748444
anger,fear,4,4,academic ambition / competitive determination,2.0,-2.0,0.0604635551571846,0.16520443558692932,0.10703927278518677,0.17608575522899628,-0.10474088042974472,-0.07565829902887344
anger,fear,4,4,academic ambition / competitive determination,2.0,2.0,0.13655363023281097,0.16520443558692932,0.14391951262950897,0.17608575522899628,-0.028650805354118347,-0.018008343875408173
anger,fear,4,5,ironic amusement,-2.0,-2.0,0.05432502552866936,0.0648786723613739,0.052045658230781555,0.04792594164609909,-0.010553646832704544,-0.004137139767408371
