cat_a,cat_b,alpha,beta,mean_resid_norm,mean_marg_norm,mean_resid_ratio,median_resid_ratio,cos_recon,cos_w,cos_caa_raw,abs_alpha_beta,sign_alpha_beta
joy,sadness,-2.0,-2.0,0.4167433977127075,0.5111945271492004,0.8427966237068176,0.7951738834381104,0.018178295344114304,0.11592849344015121,0.0171513594686985,4.0,1.0
joy,sadness,-2.0,2.0,0.419661283493042,0.535520613193512,0.7903105020523071,0.8122284412384033,0.018178295344114304,0.11592849344015121,0.0171513594686985,4.0,-1.0
joy,sadness,2.0,-2.0,0.4126026630401611,0.5422082543373108,0.7782560586929321,0.7437995672225952,0.018178295344114304,0.11592849344015121,0.0171513594686985,4.0,-1.0
joy,sadness,2.0,2.0,0.4686457514762878,0.582428514957428,0.8058613538742065,0.8107509613037109,0.018178295344114304,0.11592849344015121,0.0171513594686985,4.0,1.0
joy,anger,-2.0,-2.0,0.4173650443553924,0.5902184247970581,0.7317681908607483,0.7465919256210327,0.0583980493247509,0.11194894462823868,0.06286892294883728,4.0,1.0
joy,anger,-2.0,2.0,0.4076705574989319,0.526659369468689,0.7914937734603882,0.8055639266967773,0.0583980493247509,0.11194894462823868,0.06286892294883728,4.0,-1.0
joy,anger,2.0,-2.0,0.4605295658111572,0.6380566954612732,0.7308225631713867,0.7578227519989014,0.0583980493247509,0.11194894462823868,0.06286892294883728,4.0,-1.0
joy,anger,2.0,2.0,0.4589657187461853,0.5778431296348572,0.8030699491500854,0.8214478492736816,0.0583980493247509,0.11194894462823868,0.06286892294883728,4.0,1.0
anger,fear,-2.0,-2.0,0.4718663692474365,0.5994009971618652,0.8187048435211182,0.8194133639335632,0.5480860471725464,0.84937584400177,0.5262276530265808,4.0,1.0
anger,fear,-2.0,2.0,0.505828320980072,0.5779409408569336,0.9719797372817992,0.8199425339698792,0.5480860471725464,0.84937584400177,0.5262276530265808,4.0,-1.0
anger,fear,2.0,-2.0,0.4780097305774688,0.5277917981147766,0.9168786406517028,0.920701801776886,0.5480860471725464,0.84937584400177,0.5262276530265808,4.0,-1.0
anger,fear,2.0,2.0,0.5085393786430359,0.5282360911369324,1.0018599033355713,0.9106767177581788,0.5480860471725464,0.84937584400177,0.5262276530265808,4.0,1.0
disgust,joy,-2.0,-2.0,0.4679660201072693,0.5660314559936523,1.1282646656036377,0.8789994120597839,-0.08558029681444168,0.12347611039876938,-0.062452804297208786,4.0,1.0
disgust,joy,-2.0,2.0,0.4666318297386169,0.6074138879776001,0.7776172161102295,0.7560206651687622,-0.08558029681444168,0.12347611039876938,-0.062452804297208786,4.0,-1.0
disgust,joy,2.0,-2.0,0.4432927966117859,0.5551323890686035,0.8143086433410645,0.816165566444397,-0.08558029681444168,0.12347611039876938,-0.062452804297208786,4.0,-1.0
disgust,joy,2.0,2.0,0.4867817163467407,0.5981656908988953,0.8081246614456177,0.8339061737060547,-0.08558029681444168,0.12347611039876938,-0.062452804297208786,4.0,1.0
