cat_a,cat_b,alpha,beta,to_a_actual,to_a_marg_a,to_a_marg_b,to_a_baseline,to_a_predicted,to_a_resid,to_b_actual,to_b_marg_a,to_b_marg_b,to_b_baseline,to_b_predicted,to_b_resid
joy,sadness,-2.0,-2.0,0.25,0.125,0.375,0.25,0.25,0.0,0.0,0.125,0.0,0.0,0.125,-0.125
joy,sadness,-2.0,0.0,0.125,0.125,0.25,0.25,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.0
joy,sadness,-2.0,2.0,0.125,0.125,0.125,0.25,0.0,0.125,0.0,0.125,0.0,0.0,0.125,-0.125
joy,sadness,0.0,-2.0,0.375,0.25,0.375,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joy,sadness,0.0,2.0,0.125,0.25,0.125,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joy,sadness,2.0,-2.0,0.375,0.25,0.375,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joy,sadness,2.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joy,sadness,2.0,2.0,0.125,0.25,0.125,0.25,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.25
joy,anger,-2.0,-2.0,0.125,0.125,0.25,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joy,anger,-2.0,0.0,0.125,0.125,0.25,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joy,anger,-2.0,2.0,0.0,0.125,0.25,0.25,0.125,-0.125,0.0,0.0,0.0,0.0,0.0,0.0
joy,anger,0.0,-2.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joy,anger,0.0,2.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joy,anger,2.0,-2.0,0.375,0.25,0.25,0.25,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0
joy,anger,2.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joy,anger,2.0,2.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anger,fear,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,-0.125
anger,fear,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anger,fear,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anger,fear,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.0
anger,fear,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anger,fear,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.0
anger,fear,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anger,fear,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disgust,joy,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.125,0.25,0.125,0.125
disgust,joy,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0
disgust,joy,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.25,0.25,0.25,0.25,0.125
disgust,joy,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.125,0.25,0.125,0.0
disgust,joy,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0
disgust,joy,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.25,0.125,-0.125
disgust,joy,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0
disgust,joy,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0
