sweep,artifact,decomposer,k,seed,layer,category,target_norm,fit,lasso_alpha,r2,cosine,residual_l2,weight_l1,weight_l2,weight_l0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,anger,3.6211390495300293,ols,,0.6851621515318836,0.827745258808136,2.031836087697053,29.066631317138672,12.252847671508789,8
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,anger,3.6211390495300293,nnls,,0.10268775869243241,0.32044930772391045,3.4301806913861186,4.414697143428308,3.151700856803983,2
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,anger,3.6211390495300293,lasso,0.001,0.3575590664112024,0.7528083920478821,2.902430331554714,7.64565372467041,3.9235596656799316,5
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,anger,3.6211390495300293,lasso,0.01,0.0,0.0,3.6211390487323056,0.0,0.0,0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,anger,3.6211390495300293,lasso,0.1,0.0,0.0,3.6211390487323056,0.0,0.0,0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,anticipation,4.50900411605835,ols,,0.8132407105117005,0.9017985463142395,1.9485955780683881,41.931983947753906,19.126941680908203,8
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,anticipation,4.50900411605835,nnls,,0.05252703721459484,0.2291878422795302,4.388984216248454,4.02573377313305,2.793444797560692,3
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,anticipation,4.50900411605835,lasso,0.001,0.39793786869005265,0.711047887802124,3.4986561511374052,8.852112770080566,6.951405048370361,4
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,anticipation,4.50900411605835,lasso,0.01,0.0,0.0,4.5090038503705285,0.0,0.0,0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,anticipation,4.50900411605835,lasso,0.1,0.0,0.0,4.5090038503705285,0.0,0.0,0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,disgust,3.974813461303711,ols,,0.7866645539821085,0.886941134929657,1.835896722868303,28.17310333251953,13.16679859161377,8
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,disgust,3.974813461303711,nnls,,0.2121055885631553,0.4605492515427238,3.5281801037345883,5.954911509011008,5.193096797895114,2
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,disgust,3.974813461303711,lasso,0.001,0.5253675467506911,0.8297756910324097,2.7383909543600415,10.683050155639648,5.80657958984375,4
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,disgust,3.974813461303711,lasso,0.01,0.0,0.0,3.9748133201668456,0.0,0.0,0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,disgust,3.974813461303711,lasso,0.1,0.0,0.0,3.9748133201668456,0.0,0.0,0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,fear,3.9300339221954346,ols,,0.7687344030094412,0.8767750263214111,1.8899565847143427,36.57145690917969,15.549072265625,8
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,fear,3.9300339221954346,nnls,,0.08820198610333907,0.29698824195891044,3.75271542867887,4.440371646690824,3.1705602225138962,2
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,fear,3.9300339221954346,lasso,0.001,0.31879989369842066,0.7726588249206543,3.243647602795064,7.942098140716553,3.8203492164611816,6
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,fear,3.9300339221954346,lasso,0.01,0.0,0.0,3.930034038211871,0.0,0.0,0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,fear,3.9300339221954346,lasso,0.1,0.0,0.0,3.930034038211871,0.0,0.0,0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,joy,2.8518917560577393,ols,,0.5688586022554374,0.7542271018028259,1.8725907423698922,11.009044647216797,5.574807643890381,8
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,joy,2.8518917560577393,nnls,,0.46101404251304123,0.6789801206434616,2.0937351037890224,7.972470763500789,5.092157746975391,4
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,joy,2.8518917560577393,lasso,0.001,0.45216810531628093,0.7065160870552063,2.11084656424228,4.730892658233643,3.575089454650879,3
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,joy,2.8518917560577393,lasso,0.01,0.0,0.0,2.851891569197703,0.0,0.0,0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,joy,2.8518917560577393,lasso,0.1,0.0,0.0,2.851891569197703,0.0,0.0,0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,sadness,4.420462131500244,ols,,0.8366896849165658,0.914707362651825,1.7863826086901813,41.322261810302734,17.16972541809082,8
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,sadness,4.420462131500244,nnls,,0.09754101572905616,0.312315584682758,4.1993435903809075,4.826491636267717,3.8773499161780633,2
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,sadness,4.420462131500244,lasso,0.001,0.4228011520333842,0.8151511549949646,3.358384381104271,10.986077308654785,5.58870267868042,6
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,sadness,4.420462131500244,lasso,0.01,0.0,0.0,4.420462123136005,0.0,0.0,0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,sadness,4.420462131500244,lasso,0.1,0.0,0.0,4.420462123136005,0.0,0.0,0
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,surprise,3.1134231090545654,ols,,0.6322571485943261,0.7951459884643555,1.8880360429523861,23.0631103515625,9.182595252990723,8
basis_sweep,ica_k008_seed0.pt,ica,8,0,19,surprise,3.1134231090545654,nnls,,0.09787441787413409,0.31284890812908306,2.9571384655820556,3.470422886061577,2.5434492540935554,2
