component,l1,linf,participation_ratio,sign_balance_pos,rel_max,top1_cat,top1_w,top2_cat,top2_w,top3_cat,top3_w,class
0,58.82325549609959,13.68349838256836,5.768160721710779,0.006535865449346913,0.999999999999927,anticipation,-13.68349838256836,trust,-10.992791175842285,sadness,-10.62087345123291,pan
1,5.508368104696274,2.0780746936798096,4.10063128707933,0.8882673657544207,0.15186720790108416,surprise,2.0780746936798096,disgust,1.495038628578186,sadness,0.6651203632354736,lexical_gap
2,21.41036167740822,5.568286418914795,5.630454109363707,0.2537738119195395,0.4069344156906484,fear,-5.568286418914795,anticipation,-4.388869285583496,surprise,3.726670503616333,pan
3,25.64362622797489,5.620911598205566,5.662435138876191,0.8771895468085416,0.4107803020144125,fear,5.620911598205566,sadness,5.311400890350342,anticipation,5.294791221618652,pan
4,10.944390267133713,3.2956886291503906,5.286234575027423,0.03870505313987137,0.2408513186473266,surprise,-3.2956886291503906,joy,-2.0942440032958984,disgust,-2.0039122104644775,pan
5,32.57853440195322,5.878913402557373,6.526917383996292,0.9999999999999692,0.429635261260833,sadness,5.878913402557373,anticipation,5.709193706512451,disgust,5.410093307495117,pan
6,17.304239375516772,5.345685958862305,4.465528678025327,0.9986161514077985,0.39066661239729994,disgust,5.345685958862305,anger,4.513060092926025,surprise,3.6384475231170654,pan
7,19.585174597799778,4.725381374359131,5.484564153226163,0.747844243177506,0.34533430284016614,fear,4.725381374359131,surprise,-3.7758307456970215,anticipation,3.7333359718322754,pan
8,36.420014813542366,8.006855010986328,6.053827054810481,0.9771851592836308,0.5851467795096765,anticipation,8.006855010986328,trust,6.0748291015625,sadness,5.9919514656066895,pan
9,10.565707486122847,3.0090172290802,5.547971758073418,0.05305195317083203,0.219901164523337,surprise,-3.0090172290802,disgust,-1.9602861404418945,joy,-1.760598063468933,pan
10,21.524323344230652,5.611972332000732,5.594914966663667,0.07991454111667248,0.41012701394765455,sadness,-5.611972332000732,fear,-5.101303577423096,anticipation,-3.0648505687713623,pan
11,9.742519099265337,2.1584765911102295,5.8779087841903825,0.726706238564394,0.15774303696047434,sadness,2.1584765911102295,disgust,2.0774149894714355,anger,1.6293225288391113,lexical_gap
12,19.763506844639778,4.587891101837158,5.7086944888920685,0.9999999999999495,0.3352864138663118,fear,4.587891101837158,sadness,4.150375843048096,anticipation,3.4460036754608154,pan
13,9.020036786794662,1.6929259300231934,7.0294623255339515,0.9999999999998891,0.1237202565229749,anticipation,1.6929259300231934,disgust,1.587514877319336,surprise,1.4799774885177612,lexical_gap
14,9.37209502607584,3.1579103469848633,5.004084406348785,0.8070302592046462,0.23078238171954243,surprise,3.1579103469848633,joy,1.6479154825210571,disgust,1.5169594287872314,pan
15,15.12137097120285,4.289087772369385,5.256681101129293,0.6729002611002086,0.3134496495306356,trust,4.289087772369385,joy,4.064965724945068,disgust,-1.8922466039657593,pan
