component,axis_name,negative_pole,positive_pole,family,confidence,threshold_alpha_unit_negative,threshold_alpha_unit_positive,threshold_broken_rate_negative,threshold_broken_rate_positive,threshold_mean_severity_negative,threshold_mean_severity_positive,b_norm,self_rho,label_dominance,vad_explained,primitive_score
0,Certainty,Uncertainty,Confidence,Affective,0.85,8.0,8.0,,,,,0.7587014436721802,0.0,0.375,0.0017712602,-0.1894066015
1,engagement,disinterest,curiosity,cognitive engagement,0.85,8.0,8.0,,,,,0.672488272190094,0.625,0.875,0.0015121513,1.1912585019
2,Affective Engagement,Fear,Joy,Affective,0.75,8.0,8.0,,,,,0.5938369035720825,0.0625,0.5,0.0020711091,-0.1939480465
3,Affective Dimension of Emotional Response,sadness,joy,emotional response,0.85,8.0,8.0,,,,,0.8293483257293701,0.0625,0.5,0.000222141,0.8087873996
4,Emotional Intensity,Anger,Surprise,Affective,0.85,8.0,4.0,,,,,0.8424703478813171,0.1875,0.25,0.0009390655,1.056714485
5,Trust vs. Distrust,Distrust,Trust,Affective,0.85,8.0,8.0,,,,,0.6906808614730835,0.1875,0.25,0.0070842328,0.053180365
6,Emotional Investment,Apathy,Engagement,Affective,0.85,8.0,8.0,,,,,0.7263727784156799,0.25,1.0,0.0049116346,0.7431095114
7,Affective Response to Uncertainty,Fear,Surprise,Affective,0.85,2.0,8.0,,,,,0.7637316584587097,-0.125,1.0,0.0084937727,-0.6322605694
8,Affective Dimension of Emotion,sadness,joy,emotion,0.75,8.0,8.0,,,,,0.8080388307571411,0.125,1.0,0.0040686727,-0.3819014276
9,Affective Response to Visual Stimuli,Disgust,Surprise,Affective,0.85,8.0,8.0,,,,,0.7727157473564148,0.625,1.0,0.0052406271,1.1215614622
10,Affective Trust-Disgust Axis,Disgust,Trust,Affective,0.85,8.0,8.0,,,,,0.5965864062309265,0.6875,1.0,0.0013895046,1.1886752171
11,Trust-Distrust Axis,Distrust,Trust,Interpersonal Relations,0.85,8.0,8.0,,,,,0.7384833097457886,0.25,0.375,0.0009697549,1.0585759958
