target,alpha_unit,n,mean_plutchik_max,mean_plutchik_sum,mean_plutchik_entropy,mean_other_score,frac_other_dominant,mean_s_anger,mean_s_anticipation,mean_s_disgust,mean_s_fear,mean_s_joy,mean_s_sadness,mean_s_surprise,mean_s_trust
combo_b1+b11,-2.0,16,0.4625,1.125,0.8414318072315665,0.4125,0.3125,0.0,0.29375,0.0,0.08125,0.30624999999999997,0.0625,0.0,0.38125
combo_b1+b13,-2.0,16,0.45625,0.9249999999999999,0.680398280006283,0.36875,0.25,0.0,0.23124999999999998,0.0,0.03125,0.2625,0.00625,0.0,0.39375000000000004
combo_b11+b13,-2.0,16,0.5062500000000001,1.3000000000000003,0.8770815175396617,0.4125,0.25,0.0,0.2875,0.0,0.03125,0.3375,0.075,0.20625,0.36250000000000004
gap_b1,-2.0,16,0.44999999999999996,1.075,0.817477677189635,0.46875,0.5,0.03125,0.3,0.00625,0.10625000000000001,0.25,0.04375,0.0,0.3375
gap_b11,-2.0,16,0.5375,1.21875,0.7976405417363158,0.4375,0.1875,0.03125,0.38125000000000003,0.0,0.04375,0.30625,0.04375,0.0,0.4125
gap_b13,-2.0,16,0.44375,1.16875,0.9148414067077284,0.4125,0.375,0.025,0.325,0.01875,0.08125,0.20625,0.13125,0.0625,0.31875000000000003
pan_b0,-2.0,16,0.44375,1.16875,0.8276786115709376,0.51875,0.625,0.05,0.3625,0.0,0.15625,0.18125,0.15625,0.01875,0.24375
pan_b5,-2.0,16,0.43125,1.2125000000000001,0.8899258700241911,0.39999999999999997,0.4375,0.0,0.375,0.0,0.125,0.23125,0.09375,0.03125,0.35625
pan_b8,-2.0,16,0.40625,0.93125,0.788893110569153,0.39375,0.5,0.0,0.29375,0.0,0.06875,0.21875,0.037500000000000006,0.0,0.3125
combo_b1+b11,0.0,16,0.46875,1.125,0.8075730782979531,0.42499999999999993,0.3125,0.0,0.325,0.0,0.1125,0.2625,0.06875,0.03125,0.325
combo_b1+b13,0.0,16,0.46875,1.075,0.8024521492398359,0.43125,0.375,0.0,0.3125,0.0,0.09375,0.2625,0.06875,0.01875,0.31875
combo_b11+b13,0.0,16,0.50625,1.15625,0.8523654839595324,0.46875,0.4375,0.0,0.34375,0.0,0.08125,0.2625,0.075,0.03125,0.3625
gap_b1,0.0,16,0.46875,1.10625,0.790318819217672,0.43125,0.375,0.0,0.325,0.0,0.1125,0.23125,0.0625,0.03125,0.34375
gap_b11,0.0,16,0.46875,1.1062500000000002,0.791196614431546,0.40625,0.3125,0.0,0.32499999999999996,0.0,0.1125,0.23125,0.0625,0.03125,0.34375
gap_b13,0.0,16,0.46875,1.15625,0.8118830329606741,0.4375,0.375,0.0,0.34375,0.0,0.1125,0.275,0.06875,0.03125,0.325
pan_b0,0.0,16,0.5,1.1500000000000001,0.8091461565926998,0.45,0.3125,0.0,0.31875,0.0,0.1125,0.2625,0.06875,0.03125,0.35625
pan_b5,0.0,16,0.46875,1.1,0.8401165920149827,0.43125,0.375,0.0,0.3125,0.0,0.09375,0.275,0.08125,0.01875,0.31875
pan_b8,0.0,16,0.46875,1.1,0.8190849774226704,0.44375,0.4375,0.0,0.325,0.0,0.09375,0.2625,0.08125,0.01875,0.31875
combo_b1+b11,2.0,16,0.44999999999999996,1.0875,0.9984439328616472,0.375,0.4375,0.03125,0.33125,0.04375,0.09375,0.2,0.08750000000000001,0.00625,0.29375
combo_b1+b13,2.0,16,0.475,1.1,0.8272678779691267,0.4,0.3125,0.01875,0.28125,0.0,0.0625,0.31875,0.037500000000000006,0.0,0.38125000000000003
combo_b11+b13,2.0,16,0.49375,1.25,0.906544640452584,0.5499999999999999,0.75,0.0,0.43125,0.0,0.20625,0.20625000000000002,0.14375,0.0,0.2625
gap_b1,2.0,16,0.49375,1.3375,1.0027240701697357,0.48750000000000004,0.4375,0.0,0.44375,0.0125,0.16875,0.24374999999999997,0.08125,0.03125,0.35625
gap_b11,2.0,16,0.5125,1.3312499999999998,0.9478156788132903,0.5187499999999999,0.625,0.0,0.4,0.056249999999999994,0.21875,0.21875,0.14375,0.03125,0.2625
gap_b13,2.0,16,0.55,1.3937499999999998,0.9576721536939148,0.4875,0.4375,0.0,0.43125,0.0,0.09375,0.375,0.03125,0.0,0.4625
pan_b0,2.0,16,0.43125,1.19375,0.8779080302863398,0.43124999999999997,0.5,0.056249999999999994,0.35625,0.03125,0.05625,0.30000000000000004,0.05625,0.03125,0.30625
pan_b5,2.0,16,0.51875,1.34375,0.9444931575595964,0.49374999999999997,0.4375,0.05,0.4125,0.0125,0.15000000000000002,0.24375000000000002,0.16875,0.0,0.30625
pan_b8,2.0,16,0.4,1.1,0.8333528755661225,0.40624999999999994,0.5625,0.0,0.35,0.0,0.08125,0.275,0.025,0.05,0.31875
