axis,alpha_unit,n,mean_plutchik_max,mean_plutchik_entropy,mean_other_score,frac_other_dominant,top_other_label,top_other_count,top_plutchik,n_unique_other_labels,mean_s_anger,mean_s_anticipation,mean_s_disgust,mean_s_fear,mean_s_joy,mean_s_sadness,mean_s_surprise,mean_s_trust
0,-2.0,8,0.4625,0.5306352722218244,0.4125,0.375,curiosity,1,anticipation,6,0.0,0.375,0.0,0.0,0.1875,0.0,0.0,0.3125
0,0.0,8,0.475,1.0041040091982436,0.375,0.625,indecision,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0125,0.3875
0,2.0,8,0.5,0.9767142505276873,0.4375,0.625,helplessness,1,anticipation,7,0.0125,0.375,0.025,0.15,0.15,0.1,0.0,0.325
1,-2.0,8,0.4625,1.0231177154596378,0.41250000000000003,0.375,uncertainty,2,anticipation,5,0.0,0.4375,0.0625,0.2125,0.1875,0.0625,0.0875,0.35
1,0.0,8,0.475,0.9615504791160902,0.39999999999999997,0.625,confusion,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0125,0.35
1,2.0,8,0.375,0.7765333281899973,0.3,0.5,curiosity,2,anticipation,3,0.0,0.35,0.0,0.0,0.125,0.0,0.1375,0.3125
2,-2.0,8,0.325,0.8087852115013223,0.32499999999999996,0.5,intellectual curiosity,1,anticipation,5,0.0375,0.25,0.0,0.025,0.21250000000000002,0.025,0.0,0.2375
2,0.0,8,0.475,0.9192514044072821,0.44999999999999996,0.75,indecision,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.35
2,2.0,8,0.25,0.41197960832652647,0.2,0.25,self-care,1,anger,4,0.0,0.25,0.0,0.0625,0.125,0.0,0.0,0.1875
3,-2.0,8,0.5375,1.0980397605747227,0.475,0.25,uncertainty,3,anticipation,6,0.0,0.5,0.0,0.07500000000000001,0.25,0.05,0.0375,0.4375
3,0.0,8,0.475,0.9777250994655947,0.27499999999999997,0.375,confusion,1,anticipation,5,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0125,0.3875
3,2.0,8,0.3625,0.7255303099353168,0.325,0.25,frustration,1,anger,5,0.0875,0.2625,0.0,0.0375,0.1375,0.0375,0.0,0.2125
4,-2.0,8,0.35,0.5991888110466052,0.4125,0.375,frustration,1,anger,7,0.0375,0.1875,0.0,0.0,0.11249999999999999,0.0,0.025,0.275
4,0.0,8,0.475,0.91063149508184,0.33749999999999997,0.375,indecision,1,anticipation,6,0.0,0.4375,0.0,0.0875,0.15,0.075,0.0,0.35
4,2.0,8,0.375,0.8340597476813912,0.375,0.625,regret,1,anticipation,5,0.0,0.3,0.0,0.0375,0.225,0.0625,0.0625,0.3125
5,-2.0,8,0.5625,0.9020627696632258,0.4125,0.25,uncertainty,2,anticipation,5,0.0,0.325,0.0,0.0875,0.3125,0.0875,0.05,0.35
5,0.0,8,0.475,0.8749070815495509,0.35,0.5,confusion,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0125,0.2875
5,2.0,8,0.48750000000000004,0.9109835355699447,0.33749999999999997,0.25,anxiety,1,anticipation,5,0.0,0.375,0.0,0.1875,0.15,0.0875,0.0,0.36250000000000004
6,-2.0,8,0.4625,0.9383200504343105,0.46249999999999997,0.625,curiosity,2,anticipation,5,0.0375,0.4375,0.0,0.05,0.3375,0.0,0.0625,0.3375
6,0.0,8,0.475,0.8662871722241088,0.4125,0.625,confusion,1,anticipation,7,0.0,0.4375,0.0,0.0875,0.15,0.075,0.0125,0.2875
6,2.0,8,0.475,0.7414257626741607,0.4125,0.375,confusion,2,trust,5,0.0,0.2125,0.0,0.025,0.35,0.0,0.0,0.35
7,-2.0,8,0.36250000000000004,0.6921710242689337,0.22499999999999998,0.25,self-doubt,1,anticipation,3,0.0,0.2625,0.0,0.1125,0.11249999999999999,0.075,0.0,0.225
7,0.0,8,0.475,0.8910817018990554,0.27499999999999997,0.375,confusion,1,anticipation,5,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0125,0.325
7,2.0,8,0.5,0.8220157138659567,0.3625,0.5,commitment,1,anticipation,5,0.0,0.4,0.0,0.0625,0.225,0.0125,0.025,0.375
8,-2.0,8,0.475,0.8503234099583707,0.3125,0.25,confusion,1,anticipation,5,0.0,0.4,0.0,0.0625,0.375,0.0625,0.0,0.2875
8,0.0,8,0.475,0.8326080068407429,0.35,0.5,confusion,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
8,2.0,8,0.47500000000000003,0.7090501560657874,0.3875,0.375,frustration,2,anger,4,0.1375,0.3,0.0,0.0,0.1875,0.025,0.0,0.3375
9,-2.0,8,0.3125,0.5810764332154579,0.3875,0.375,helplessness,1,anger,6,0.0,0.275,0.0,0.0875,0.125,0.0625,0.0,0.225
9,0.0,8,0.475,0.8326080068407429,0.35,0.5,confusion,1,anticipation,6,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
9,2.0,8,0.475,1.035280284688791,0.3625,0.375,uncertainty,1,anticipation,6,0.0375,0.425,0.0625,0.05,0.1375,0.0,0.075,0.41250000000000003
10,-2.0,8,0.45,0.7401535792678855,0.3125,0.375,determination,1,anticipation,5,0.0,0.3625,0.0,0.0625,0.2625,0.0625,0.0375,0.2375
10,0.0,8,0.475,0.8910817018990554,0.39999999999999997,0.625,confusion,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0125,0.325
10,2.0,8,0.4625,0.8411416778943606,0.3125,0.375,none,1,anticipation,6,0.0625,0.4125,0.05,0.11249999999999999,0.225,0.0,0.0,0.2625
