axis,alpha_unit,rank,label,count
0,-2.0,1,curiosity,1
0,-2.0,2,urgency,1
0,-2.0,3,career uncertainty,1
0,-2.0,4,desire for stability,1
0,-2.0,5,informational guidance,1
0,0.0,1,indecision,1
0,0.0,2,uncertainty,1
0,0.0,3,academic ambition,1
0,0.0,4,none,1
0,0.0,5,decision-making,1
0,2.0,1,helplessness,1
0,2.0,2,contentment,1
0,2.0,3,culinary excitement,1
0,2.0,4,none,1
0,2.0,5,indecision,1
1,-2.0,1,uncertainty,2
1,-2.0,2,nostalgic appreciation,1
1,-2.0,3,housing insecurity,1
1,-2.0,4,helpfulness,1
1,-2.0,5,dark humor,1
1,0.0,1,confusion,1
1,0.0,2,uncertainty,1
1,0.0,3,self-discovery,1
1,0.0,4,culinary excitement,1
1,0.0,5,none,1
1,2.0,1,curiosity,2
1,2.0,2,playful mystery,1
1,2.0,3,seeking companionship,1
2,-2.0,1,intellectual curiosity,1
2,-2.0,2,uncertainty,1
2,-2.0,3,casual optimism,1
2,-2.0,4,confusion,1
2,-2.0,5,frustration,1
2,0.0,1,indecision,1
2,0.0,2,uncertainty,1
2,0.0,3,academic ambition,1
2,0.0,4,culinary excitement,1
2,0.0,5,none,1
2,2.0,1,self-care,1
2,2.0,2,none,1
2,2.0,3,practical planning,1
2,2.0,4,mild sarcasm,1
3,-2.0,1,uncertainty,3
3,-2.0,2,hopefulness,1
3,-2.0,3,contentment,1
3,-2.0,4,curiosity,1
3,-2.0,5,housing insecurity,1
3,0.0,1,confusion,1
3,0.0,2,uncertainty,1
3,0.0,3,none,1
3,0.0,4,decision-making,1
3,0.0,5,thoughtfulness,1
3,2.0,1,frustration,1
3,2.0,2,uncertainty,1
3,2.0,3,self-acceptance,1
3,2.0,4,urgency,1
3,2.0,5,excitement,1
4,-2.0,1,frustration,1
4,-2.0,2,neutral scheduling,1
4,-2.0,3,academic pride,1
4,-2.0,4,culinary excitement,1
4,-2.0,5,practical necessity,1
4,0.0,1,indecision,1
4,0.0,2,uncertainty,1
4,0.0,3,academic ambition,1
4,0.0,4,none,1
4,0.0,5,decision-making,1
4,2.0,1,regret,1
4,2.0,2,uncertainty,1
4,2.0,3,self-acceptance,1
4,2.0,4,contentment,1
4,2.0,5,adventurousness,1
5,-2.0,1,uncertainty,2
5,-2.0,2,existential uncertainty,1
5,-2.0,3,enthusiastic exploration,1
5,-2.0,4,desire for comfort,1
5,-2.0,5,humor,1
5,0.0,1,confusion,1
5,0.0,2,uncertainty,1
5,0.0,3,academic ambition,1
5,0.0,4,none,1
5,0.0,5,decision-making,1
5,2.0,1,anxiety,1
5,2.0,2,regret,1
5,2.0,3,culinary excitement,1
5,2.0,4,contentment,1
5,2.0,5,nostalgic reflection,1
6,-2.0,1,curiosity,2
6,-2.0,2,rebellious enjoyment,1
6,-2.0,3,collaborative spirit,1
6,-2.0,4,enthusiasm for history,1
6,-2.0,5,cautionary advice,1
6,0.0,1,confusion,1
6,0.0,2,uncertainty,1
6,0.0,3,academic ambition,1
6,0.0,4,culinary excitement,1
6,0.0,5,none,1
6,2.0,1,confusion,2
6,2.0,2,uncertainty,1
6,2.0,3,enthusiasm for learning,1
6,2.0,4,casual optimism,1
6,2.0,5,shared experience,1
7,-2.0,1,self-doubt,1
7,-2.0,2,intellectual curiosity,1
7,-2.0,3,anxiety,1
7,0.0,1,confusion,1
7,0.0,2,uncertainty,1
7,0.0,3,none,1
7,0.0,4,decision-making,1
7,0.0,5,appreciation,1
7,2.0,1,commitment,1
7,2.0,2,practicality,1
7,2.0,3,health concern,1
7,2.0,4,curiosity,1
7,2.0,5,humorous reflection,1
8,-2.0,1,confusion,1
8,-2.0,2,self-identity,1
8,-2.0,3,culinary curiosity,1
8,-2.0,4,none,1
8,-2.0,5,euphoria,1
8,0.0,1,confusion,1
8,0.0,2,uncertainty,1
8,0.0,3,culinary excitement,1
8,0.0,4,none,1
8,0.0,5,decision-making,1
8,2.0,1,frustration,2
8,2.0,2,commitment,1
8,2.0,3,academic ambition,1
8,2.0,4,desire for comfort,1
9,-2.0,1,helplessness,1
9,-2.0,2,uncertainty,1
9,-2.0,3,intellectual curiosity,1
9,-2.0,4,repetitive emphasis,1
9,-2.0,5,urgency,1
9,0.0,1,confusion,1
9,0.0,2,uncertainty,1
9,0.0,3,academic ambition,1
9,0.0,4,none,1
9,0.0,5,decision-making,1
9,2.0,1,uncertainty,1
9,2.0,2,contentment,1
9,2.0,3,service-oriented,1
9,2.0,4,financial concern,1
9,2.0,5,cognitive engagement,1
10,-2.0,1,determination,1
10,-2.0,2,none,1
10,-2.0,3,nostalgia,1
10,-2.0,4,concern for safety,1
10,-2.0,5,humor,1
10,0.0,1,confusion,1
10,0.0,2,uncertainty,1
10,0.0,3,self-discovery,1
10,0.0,4,culinary excitement,1
10,0.0,5,none,1
10,2.0,1,none,1
10,2.0,2,self-identity,1
10,2.0,3,culinary excitement,1
10,2.0,4,practical concern,1
10,2.0,5,uncertainty about food,1
11,-2.0,1,contentment,2
11,-2.0,2,curiosity,2
11,-2.0,3,clarity in reasoning,1
11,0.0,1,indecision,1
11,0.0,2,uncertainty,1
11,0.0,3,academic ambition,1
11,0.0,4,none,1
11,0.0,5,decision-making,1
11,2.0,1,uncertainty,1
11,2.0,2,nostalgia,1
11,2.0,3,contentment,1
11,2.0,4,helpfulness,1
11,2.0,5,frustration,1
12,-2.0,1,curiosity,2
12,-2.0,2,regret,1
12,-2.0,3,repetitive affirmation,1
12,-2.0,4,enthusiasm,1
12,-2.0,5,food aversion,1
12,0.0,1,indecision,1
12,0.0,2,uncertainty,1
12,0.0,3,academic ambition,1
12,0.0,4,none,1
12,0.0,5,decision-making,1
12,2.0,1,determination,1
12,2.0,2,impatience,1
12,2.0,3,enthusiasm for history,1
12,2.0,4,desire for independence,1
12,2.0,5,confusion,1
13,-2.0,1,stress,1
13,-2.0,2,enthusiasm for food,1
13,-2.0,3,urgency,1
13,0.0,1,indecision,1
13,0.0,2,uncertainty,1
13,0.0,3,academic ambition,1
13,0.0,4,none,1
13,0.0,5,decision-making,1
13,2.0,1,frustration,2
13,2.0,2,indifference,1
13,2.0,3,enthusiasm for history,1
13,2.0,4,financial constraint,1
13,2.0,5,confusion,1
14,-2.0,1,frustration,1
14,-2.0,2,longing,1
14,-2.0,3,self-acceptance,1
14,-2.0,4,desire for comfort,1
14,-2.0,5,mild astonishment,1
14,0.0,1,indecision,1
14,0.0,2,uncertainty,1
14,0.0,3,academic ambition,1
14,0.0,4,none,1
14,0.0,5,decision-making,1
14,2.0,1,determination,1
14,2.0,2,passion for teaching,1
14,2.0,3,culinary excitement,1
14,2.0,4,practicality,1
14,2.0,5,food aversion,1
15,-2.0,1,determination,1
15,-2.0,2,contentment,1
15,-2.0,3,enthusiasm,1
15,-2.0,4,frustration,1
15,-2.0,5,uncertainty,1
15,0.0,1,indecision,1
15,0.0,2,uncertainty,1
15,0.0,3,academic ambition,1
15,0.0,4,culinary excitement,1
15,0.0,5,none,1
15,2.0,1,indecision,1
15,2.0,2,scheduling,1
15,2.0,3,dissatisfaction,1
15,2.0,4,contentment,1
15,2.0,5,contextual confusion,1
16,-2.0,1,skepticism,1
16,-2.0,2,uncertainty,1
16,-2.0,3,urgency,1
16,-2.0,4,parental concern,1
16,0.0,1,indecision,1
16,0.0,2,uncertainty,1
16,0.0,3,academic ambition,1
16,0.0,4,none,1
16,0.0,5,decision-making,1
16,2.0,1,uncertainty,2
16,2.0,2,frustration,1
