category,alpha_unit,alpha,mean_ppl
anger,0.0,0.0,4.9609375
anger,1.0,0.9420188408978447,4.693359375
anger,2.0,1.8840376817956894,6.0859375
anger,3.0,2.826056522693534,7.154296875
anger,4.0,3.768075363591379,41.931640625
anger,5.0,4.710094204489224,290.734375
anticipation,0.0,0.0,4.9609375
anticipation,1.0,1.188252613471974,4.998046875
anticipation,2.0,2.376505226943948,7.30859375
anticipation,3.0,3.564757840415922,25.125
anticipation,4.0,4.753010453887896,21425.0625
anticipation,5.0,5.94126306735987,118826.75
disgust,0.0,0.0,4.9609375
disgust,1.0,1.0000000271558207,5.2578125
disgust,2.0,2.0000000543116414,5.5546875
disgust,3.0,3.000000081467462,5.53515625
disgust,4.0,4.000000108623283,7.421875
disgust,5.0,5.0000001357791035,5.4296875
fear,0.0,0.0,4.9609375
fear,1.0,1.03313228834935,5.57421875
fear,2.0,2.0662645766987,268.3046875
fear,3.0,3.0993968650480497,41.103515625
fear,4.0,4.1325291533974,39479.8203125
fear,5.0,5.1656614417467495,103328.890625
joy,0.0,0.0,4.9609375
joy,1.0,0.7449925898866638,5.3359375
joy,2.0,1.4899851797733277,6.244140625
joy,3.0,2.2349777696599915,5.216796875
joy,4.0,2.9799703595466553,6.111328125
joy,5.0,3.724962949433319,7.505859375
sadness,0.0,0.0,4.9609375
sadness,1.0,1.1616782051841312,5.236328125
sadness,2.0,2.3233564103682625,17.591796875
sadness,3.0,3.4850346155523937,150.390625
sadness,4.0,4.646712820736525,39802.439453125
sadness,5.0,5.808391025920656,256187.5
surprise,0.0,0.0,4.9609375
surprise,1.0,0.7778262706499106,4.904296875
surprise,2.0,1.5556525412998212,6.767578125
surprise,3.0,2.333478811949732,6.01171875
surprise,4.0,3.1113050825996424,5.578125
surprise,5.0,3.889131353249553,103431.58984375
trust,0.0,0.0,4.9609375
trust,1.0,1.010196011355191,4.943359375
trust,2.0,2.020392022710382,5.517578125
trust,3.0,3.0305880340655733,41.884765625
trust,4.0,4.040784045420764,701.6875
trust,5.0,5.0509800567759555,20828.7421875
