component,rho_mean,rho_lo,rho_hi,sign_rate,causal,cross_talk,causal_ratio,n_prompts,primitive_score,label_dominance,vad_explained,mi
26,0.6875,0.375,0.9375,0.625,0.026218023034743965,0.034916906562607944,0.7508690091713232,8,1.5617860768826275,0.25,0.0018727477872744,0.1289090494727807
22,0.8125,0.6875,0.9375,0.625,0.03359094075858593,0.036610086356213,0.9175324098072709,8,1.5611896043641218,0.5,0.0092793041840195,0.151312009670526
17,0.625,0.5,0.75,0.25,0.033041935006622225,0.03391983431171707,0.9741184081855698,8,1.501792797291735,0.25,0.0007565750856883,0.1360730045355334
32,0.75,0.625,0.875,0.5,0.04460088965424802,0.03462314533646263,1.2881813370661435,8,1.4381426702003366,0.625,0.0022384820040315,0.1587867362147474
38,0.5625,0.3125,0.8125,0.375,0.047640599514124915,0.03540727090679981,1.3455032905015631,8,1.4377011067504462,0.25,0.0026265224441885,0.1372218293747473
49,0.5625,0.1875,0.9375,0.625,0.03136117907706648,0.03298794712377241,0.9506859871712264,8,1.436270021830058,0.25,0.0052224546670913,0.12501635843517
29,0.6875,0.375,0.9375,0.625,0.025028588686836883,0.0356907970052571,0.7012616917030187,8,1.3749385024621297,0.625,0.0006221448420546,0.1842629726530305
62,0.5,0.125,0.8125,0.5,0.028827769157942384,0.03586963555149157,0.8036816854678066,8,1.2511543817752335,0.5,0.0003530087997205,0.1306763523383804
42,0.5625,0.25,0.8125,0.375,0.03017593454569578,0.03446614464961126,0.8755239337498867,8,1.2474440162716616,0.625,0.005272292997688,0.1597499683263552
58,0.4375,0.0625,0.75,0.375,0.034090429777279496,0.03532149146012093,0.9651469506830852,8,1.2459084265477045,0.375,0.0013674506917595,0.1249671858347727
36,0.4375,0.0625,0.75,0.375,0.0287311082938686,0.03461616130020019,0.8299911721543907,8,1.2453742119426945,0.375,0.0021190629340708,0.1296923943186678
34,0.375,0.0625,0.6875,0.25,0.046020915877306834,0.03672655584015293,1.2530691981124833,8,1.19272272172511,0.375,0.0033320647198706,0.2076873559393388
1,0.625,0.3125,0.875,0.5,0.04529522539814934,0.03419610282712494,1.3245727335015445,8,1.191258501913797,0.875,0.0015121513279154,0.1644051443635632
10,0.6875,0.5625,0.8125,0.375,0.029374531586654484,0.03517501395207734,0.8350965155504824,8,1.1886752171232065,1.0,0.0013895046431571,0.1699324810149036
46,0.5,0.125,0.8125,0.375,0.03291845216881484,0.03526511763422085,0.9334564684944567,8,1.18738817843093,0.625,0.0020606406033039,0.1399464506854615
40,0.375,0.0625,0.6875,0.25,0.02461373043479398,0.03417786651883193,0.7201657956183924,8,1.1828298347859272,0.375,0.0007206784794107,0.1674201324687438
15,0.375,0.0625,0.6875,0.25,0.03293287396081723,0.03438343838922539,0.9578121183534534,8,1.182006490553278,0.375,0.0004395018331706,0.1322863379401453
30,0.4375,0.125,0.75,0.375,0.03237780585186556,0.03521429922612798,0.9194505232954551,8,1.1229985488155054,0.625,0.0025226611178368,0.1682138740142433
9,0.625,0.3125,0.875,0.5,0.03700112854130566,0.03448608698460111,1.072929165804014,8,1.1215614621896604,1.0,0.0052406270988285,0.1540859920520829
57,0.25,-0.25,0.75,0.5,0.016039776208344847,0.035204101524811,0.45562237106334835,8,1.1192002854522942,0.25,0.0014534688089042,0.1442960708475071
