component,A,D,V
0,0.018317103385925293,0.14414915442466736,0.1920831799507141
1,-0.0020652711391448975,0.008539587259292603,0.07159894704818726
2,-0.006997436285018921,0.02076542377471924,-0.023767530918121338
3,0.02478128671646118,0.024369090795516968,-0.0721038281917572
4,-0.17505589127540588,-0.10906204581260681,-0.22158268094062805
5,-0.06168517470359802,-0.024773776531219482,-0.20044919848442078
6,0.09232822060585022,-0.07574522495269775,-0.20535096526145935
7,-0.0156460702419281,0.031356245279312134,-0.003402918577194214
8,-0.16849705576896667,-0.047701627016067505,-0.14323893189430237
9,-0.1444488763809204,0.045980751514434814,-0.035509973764419556
10,0.013112843036651611,0.046208083629608154,0.14601027965545654
11,0.14000147581100464,0.14736533164978027,0.2599022090435028
12,-0.012755542993545532,-0.06929680705070496,-0.037353068590164185
13,0.13335773348808289,-0.07759568095207214,-0.10427135229110718
14,-0.01061055064201355,0.09124940633773804,0.032143592834472656
15,0.04529258608818054,0.010458886623382568,0.1052931547164917
16,-0.00021818280220031738,-0.0045461952686309814,-0.08182328939437866
17,-0.00902247428894043,0.036517947912216187,0.11765173077583313
18,-0.0897330641746521,0.00624924898147583,0.05326581001281738
19,-0.09666213393211365,-0.03053423762321472,0.11041024327278137
20,0.01221427321434021,0.0906934142112732,0.046267300844192505
21,0.047780126333236694,-0.007317036390304565,-0.028961658477783203
22,0.04955747723579407,-0.09550204873085022,-0.06637635827064514
23,0.014683514833450317,-0.1472315490245819,-0.09425359964370728
24,-0.04399105906486511,-0.05882978439331055,-0.07361277937889099
25,-0.07700741291046143,-0.0033936798572540283,0.12229761481285095
26,-0.09493640065193176,-0.02217802405357361,-0.028798460960388184
27,-0.008618354797363281,-0.02337038516998291,-0.07721203565597534
28,0.05795601010322571,0.0058467090129852295,0.08849456906318665
29,0.04653605818748474,0.03986915946006775,0.1085796058177948
30,0.014912933111190796,-0.06353148818016052,-0.07049989700317383
31,0.03796038031578064,-0.02614012360572815,-0.0913938581943512
32,0.06794455647468567,0.008634120225906372,0.006822049617767334
33,-0.08202329277992249,-0.011349767446517944,0.1057722270488739
34,-0.08690109848976135,-0.05844539403915405,-0.03104051947593689
35,0.08986350893974304,0.03796997666358948,0.03324151039123535
36,0.1468220353126526,0.034499794244766235,-0.013723313808441162
37,-0.03430160880088806,0.11586964130401611,0.22927451133728027
38,0.0043055713176727295,-0.007244706153869629,0.08390745520591736
39,-0.05701306462287903,-0.00722697377204895,0.0670342743396759
40,-0.14178770780563354,-0.048085540533065796,-0.12155547738075256
41,-0.12547644972801208,-0.033294469118118286,-0.05883091688156128
42,-0.0006574392318725586,0.05861613154411316,-0.03686881065368652
43,-0.05159074068069458,-0.022518783807754517,-0.21378156542778015
44,-0.0733000636100769,-0.004751741886138916,-0.08167001605033875
45,-0.006256580352783203,-0.07441794872283936,-0.21034440398216248
46,-0.010935932397842407,0.014525145292282104,0.16480794548988342
47,0.08171936869621277,0.02243104577064514,0.10019263625144958
48,-0.10397830605506897,-0.055735617876052856,-0.06335404515266418
49,0.015572816133499146,0.04438182711601257,-0.004108607769012451
50,0.004610985517501831,0.03575161099433899,0.049608588218688965
51,-0.010569125413894653,0.08194175362586975,0.29399603605270386
52,0.017049044370651245,-0.07088685035705566,0.02700105309486389
53,0.08105209469795227,0.0030142366886138916,-0.05673640966415405
54,-0.03332749009132385,-0.0008107125759124756,0.020650088787078857
55,0.03507322072982788,0.09259068965911865,0.2678295075893402
56,-0.14069345593452454,0.010551780462265015,-0.07545402646064758
57,0.023959189653396606,-0.07451900839805603,-0.0999610424041748
58,-0.08741322159767151,0.007858991622924805,0.010037899017333984
59,-0.024147838354110718,-0.0022586286067962646,0.04292646050453186
60,0.03823024034500122,-0.0013818144798278809,-0.037651509046554565
61,0.02495768666267395,0.08929529786109924,0.06681704521179199
62,0.12422195076942444,-0.03887626528739929,0.03201490640640259
63,0.13733702898025513,0.07570290565490723,0.21084102988243103
