component,delta_V,delta_A,delta_D,top_words,top_cosines
0,0.1920831799507141,0.0183171033859252,0.1441491544246673,octopus|entertain|flattered|engagement|brilliance,1.0|1.0|1.0|1.0|1.0
1,0.0715989470481872,-0.0020652711391448,0.0085395872592926,marriage|firefighter|astronomical|boyfriend|gleaming,1.0|0.999|0.999|0.999|0.999
2,-0.0237675309181213,-0.0069974362850189,0.0207654237747192,irrigation|medication|heavy metal|informer|industrialist,1.0|1.0|0.999|0.999|0.996
3,-0.0721038281917572,0.0247812867164611,0.0243690907955169,profanity|axe|endgame|radical|sin,1.0|0.998|0.998|0.998|0.997
4,-0.221582680940628,-0.1750558912754058,-0.1090620458126068,muck|slump|laryngitis|deprive|delude,1.0|1.0|1.0|1.0|1.0
5,-0.2004491984844207,-0.061685174703598,-0.0247737765312194,shoplifting|difficulty|psychiatric|traitor|unending,1.0|1.0|1.0|1.0|0.999
6,-0.2053509652614593,0.0923282206058502,-0.0757452249526977,switchblade|wickedness|abominable|angry|homicidal,1.0|1.0|1.0|1.0|0.999
7,-0.0034029185771942,-0.0156460702419281,0.0313562452793121,bet|magnify|remind|bearer|excavation,1.0|0.999|0.999|0.999|0.998
8,-0.1432389318943023,-0.1684970557689666,-0.0477016270160675,spinster|dust|corpsman|barricade|withdraw,1.0|1.0|1.0|1.0|1.0
9,-0.0355099737644195,-0.1444488763809204,0.0459807515144348,radish|muster|curb|oblique|interim,1.0|1.0|1.0|1.0|1.0
10,0.1460102796554565,0.0131128430366516,0.0462080836296081,love|profit|comical|chocolate|cake,1.0|0.999|0.999|0.999|0.999
11,0.2599022090435028,0.1400014758110046,0.1473653316497802,penthouse|adventure|steamy|sensual|safari,1.0|1.0|1.0|1.0|1.0
12,-0.0373530685901641,-0.0127555429935455,-0.0692968070507049,tremor|unconscious|circumcision|slip|syndrome,1.0|1.0|1.0|0.998|0.998
13,-0.1042713522911071,0.1333577334880828,-0.0775956809520721,scar|battlefield|gasp|spider|ghetto,1.0|0.999|0.999|0.998|0.998
14,0.0321435928344726,-0.0106105506420135,0.091249406337738,express|highness|exemplary|bidding|proclaim,1.0|1.0|1.0|1.0|1.0
15,0.1052931547164917,0.0452925860881805,0.0104588866233825,kids|large|childbirth|firstborn|animation,0.999|0.999|0.999|0.999|0.998
16,-0.0818232893943786,-0.0002181828022003,-0.0045461952686309,narcissistic|malicious|avoidance|disgust|pigheaded,1.0|1.0|0.999|0.999|0.999
17,0.1176517307758331,-0.0090224742889404,0.0365179479122161,summerhouse|humankind|hoot|sundae|universal,1.0|1.0|1.0|1.0|1.0
18,0.0532658100128173,-0.0897330641746521,0.0062492489814758,notice|boots|loft|continent|donkey,1.0|1.0|1.0|1.0|1.0
19,0.1104102432727813,-0.0966621339321136,-0.0305342376232147,fossil|pass|airfield|finite|environment,1.0|1.0|1.0|0.999|0.999
20,0.0462673008441925,0.0122142732143402,0.0906934142112732,reboot|gaming|nightclub|mega|vigilant,1.0|0.999|0.999|0.999|0.999
21,-0.0289616584777832,0.0477801263332366,-0.0073170363903045,scare|gaping|crusade|hustle|jackass,0.998|0.997|0.997|0.997|0.996
22,-0.0663763582706451,0.049557477235794,-0.0955020487308502,hallucination|poltergeist|earthquake|cunt|blaze,0.998|0.998|0.998|0.998|0.997
23,-0.0942535996437072,0.0146835148334503,-0.1472315490245819,rifleman|hitchhike|vampire|misunderstand|neurosurgery,1.0|1.0|1.0|0.999|0.999
24,-0.0736127793788909,-0.0439910590648651,-0.0588297843933105,hearse|cemetery|fetal|paranormal|abandon,1.0|1.0|1.0|1.0|1.0
25,0.1222976148128509,-0.0770074129104614,-0.003393679857254,landscape|coastline|snowman|apologetic|presidency,1.0|1.0|1.0|1.0|1.0
26,-0.0287984609603881,-0.0949364006519317,-0.0221780240535736,striped|broach|celluloid|machinery|asphalt,1.0|1.0|1.0|1.0|1.0
27,-0.0772120356559753,-0.0086183547973632,-0.0233703851699829,despise|slob|scratchy|shameful|trafficking,1.0|1.0|1.0|1.0|1.0
28,0.0884945690631866,0.0579560101032257,0.0058467090129852,surprise|aphrodisiac|god|mechanical|swimsuit,1.0|0.999|0.998|0.998|0.997
29,0.1085796058177948,0.0465360581874847,0.0398691594600677,diamond|romp|ravishing|vibrant|pretzel,1.0|1.0|0.999|0.999|0.999
30,-0.0704998970031738,0.0149129331111907,-0.0635314881801605,hurtful|oppressor|schizophrenic|embarrassment|devastation,1.0|1.0|1.0|1.0|1.0
31,-0.0913938581943512,0.0379603803157806,-0.0261401236057281,hungry|hangover|intrusive|deadline|combative,1.0|1.0|1.0|1.0|1.0
32,0.0068220496177673,0.0679445564746856,0.0086341202259063,raptor|carnal|intensity|orgy|fuck,1.0|1.0|0.999|0.998|0.996
33,0.1057722270488739,-0.0820232927799224,-0.0113497674465179,pixie|salmon|wedlock|hovercraft|birthplace,1.0|1.0|1.0|1.0|0.999
34,-0.0310405194759368,-0.0869010984897613,-0.058445394039154,antiaircraft|oncoming|millennium|nada|drowsy,1.0|1.0|1.0|1.0|1.0
35,0.0332415103912353,0.089863508939743,0.0379699766635894,erotic|intense|howl|buzzer|cleavage,1.0|0.998|0.996|0.995|0.995
36,-0.0137233138084411,0.1468220353126526,0.0344997942447662,daredevil|breathless|joust|pert|flamboyant,1.0|0.999|0.996|0.995|0.995
37,0.2292745113372802,-0.034301608800888,0.1158696413040161,kinship|mom|wit|riveting|video,1.0|1.0|1.0|1.0|1.0
38,0.0839074552059173,0.0043055713176727,-0.0072447061538696,sibling|adrenalin|mythical|crackerjack|newborn,1.0|1.0|0.999|0.998|0.997
39,0.0670342743396759,-0.057013064622879,-0.0072269737720489,wayward|birthplace|hovercraft|zillion|aqua,1.0|1.0|0.999|0.999|0.999
40,-0.1215554773807525,-0.1417877078056335,-0.0480855405330657,musket|withdraw|repressed|pushover|earful,1.0|1.0|1.0|1.0|1.0
41,-0.0588309168815612,-0.125476449728012,-0.0332944691181182,mitigating|babble|tribunal|calculus|squint,1.0|1.0|1.0|1.0|1.0
42,-0.0368688106536865,-0.0006574392318725,0.0586161315441131,math|propulsion|bull|boycott|rivalry,0.998|0.998|0.998|0.997|0.997
43,-0.2137815654277801,-0.0515907406806945,-0.0225187838077545,tattler|hellish|hypocritical|stutter|monoxide,1.0|1.0|1.0|0.999|0.999
44,-0.0816700160503387,-0.0733000636100769,-0.0047517418861389,dope|wino|dodo|symptomatic|grunt,1.0|1.0|1.0|1.0|1.0
45,-0.2103444039821624,-0.0062565803527832,-0.0744179487228393,mourn|convict|parole|harmful|parched,1.0|1.0|1.0|1.0|1.0
46,0.1648079454898834,-0.0109359323978424,0.0145251452922821,mankind|boyfriend|firefighter|firefly|revolutionary,1.0|1.0|1.0|0.999|0.999
47,0.1001926362514495,0.0817193686962127,0.0224310457706451,entertainer|nudity|payoff|tickle|exotic,1.0|0.999|0.999|0.999|0.999
48,-0.0633540451526641,-0.1039783060550689,-0.0557356178760528,woozy|frock|angiogram|speck|reroute,1.0|1.0|1.0|1.0|1.0
49,-0.0041086077690124,0.0155728161334991,0.0443818271160125,ballsy|crossbow|exceed|superiority|prenuptial,1.0|0.999|0.998|0.995|0.994
50,0.0496085882186889,0.0046109855175018,0.0357516109943389,flattered|aerobics|soar|friendship|hope,1.0|1.0|1.0|1.0|1.0
51,0.2939960360527038,-0.0105691254138946,0.0819417536258697,couple|sandwich|oxygen|cherry|glow,1.0|1.0|1.0|1.0|1.0
