component,V,A,D,emotion_word,emo_cos,neutral_word,neu_cos,positive_pole,negative_pole
0,0.192,0.018,0.144,award,0.985,octopus,1.0,Confidence,Uncertainty
1,0.072,-0.002,0.009,magical,0.957,marriage,1.0,curiosity,disinterest
2,-0.024,-0.007,0.021,gloat,0.917,irrigation,1.0,Joy,Fear
3,-0.072,0.025,0.024,sin,0.997,profanity,1.0,joy,sadness
4,-0.222,-0.175,-0.109,muck,1.0,slump,1.0,Surprise,Anger
5,-0.2,-0.062,-0.025,hater,0.999,shoplifting,1.0,Trust,Distrust
6,-0.205,0.092,-0.076,wickedness,1.0,switchblade,1.0,Engagement,Apathy
7,-0.003,-0.016,0.031,responsible,0.859,bet,1.0,Surprise,Fear
8,-0.143,-0.168,-0.048,dust,1.0,spinster,1.0,joy,sadness
9,-0.036,-0.144,0.046,lack,0.969,radish,1.0,Surprise,Disgust
10,0.146,0.013,0.046,christmas,0.987,love,1.0,Trust,Disgust
11,0.26,0.14,0.147,adventure,1.0,penthouse,1.0,Trust,Distrust
12,-0.037,-0.013,-0.069,layover,0.984,tremor,1.0,joy,disgust
13,-0.104,0.133,-0.078,scar,1.0,battlefield,0.999,Hope,Despair
14,0.032,-0.011,0.091,respectable,0.945,express,1.0,Joy,Disgust
15,0.105,0.045,0.01,magic,0.998,kids,0.999,surprise,disgust
16,-0.082,-0.0,-0.005,racism,0.966,narcissistic,1.0,contentment,discontent
17,0.118,-0.009,0.037,resort,0.977,summerhouse,1.0,surprise,disappointment
18,0.053,-0.09,0.006,donkey,1.0,notice,1.0,anticipation,disappointment
19,0.11,-0.097,-0.031,environment,0.999,fossil,1.0,Confidence,Uncertainty
20,0.046,0.012,0.091,enthusiast,0.946,reboot,1.0,Confidence,Uncertainty
21,-0.029,0.048,-0.007,scare,0.998,gaping,0.997,Caution,Uncertainty
22,-0.066,0.05,-0.096,earthquake,0.998,hallucination,0.998,Caution,Uncertainty
23,-0.094,0.015,-0.147,collision,0.973,rifleman,1.0,Confidence,Uncertainty
24,-0.074,-0.044,-0.059,hearse,1.0,fetal,1.0,Confident,Cautious
25,0.122,-0.077,-0.003,landscape,1.0,presidency,1.0,Confidence,Uncertainty
26,-0.029,-0.095,-0.022,custodian,0.984,striped,1.0,Engagement,Avoidance
27,-0.077,-0.009,-0.023,embolism,0.987,despise,1.0,Confidence,Uncertainty
28,0.088,0.058,0.006,surprise,1.0,god,0.998,Confidence,Cautiousness
29,0.109,0.047,0.04,diamond,1.0,romp,1.0,Confidence,Uncertainty
30,-0.07,0.015,-0.064,infestation,0.996,hurtful,1.0,Commitment,Hedging
31,-0.091,0.038,-0.026,hangover,1.0,hungry,1.0,Confidence,Uncertainty
32,0.007,0.068,0.009,sex,0.865,raptor,1.0,Caution,Uncertainty
33,0.106,-0.082,-0.011,pixie,1.0,wedlock,1.0,Cautious Optimism,Lack of Confidence
34,-0.031,-0.087,-0.058,stalemate,0.991,antiaircraft,1.0,Confidence,Uncertainty
35,0.033,0.09,0.038,bulletproof,0.976,erotic,1.0,Confidence,Indecision
36,-0.014,0.147,0.034,gun,0.885,daredevil,1.0,Confidence,Uncertainty
37,0.229,-0.034,0.116,honest,0.99,kinship,1.0,Confidence,Uncertainty
38,0.084,0.004,-0.007,prosper,0.946,sibling,1.0,Confidence,Uncertainty
39,0.067,-0.057,-0.007,birthplace,1.0,wayward,1.0,Confidence,Uncertainty
40,-0.122,-0.142,-0.048,repressed,1.0,musket,1.0,Confidence,Uncertainty
41,-0.059,-0.125,-0.033,numb,0.995,mitigating,1.0,Confidence,Uncertainty
42,-0.037,-0.001,0.059,warning,0.831,math,0.998,Confidence,Uncertainty
43,-0.214,-0.052,-0.023,shun,0.992,tattler,1.0,Confidence,Uncertainty
44,-0.082,-0.073,-0.005,wino,1.0,dope,1.0,Confidence,Uncertainty
45,-0.21,-0.006,-0.074,mourning,0.962,mourn,1.0,Confidence,Uncertainty
46,0.165,-0.011,0.015,panda,0.958,mankind,1.0,Engagement,Avoidance
47,0.1,0.082,0.022,entertainer,1.0,tickle,0.999,Confidence,Uncertainty
48,-0.063,-0.104,-0.056,reroute,1.0,woozy,1.0,Openness,Defensiveness
49,-0.004,0.016,0.044,score,0.812,ballsy,1.0,Confidence,Cautiousness
50,0.05,0.005,0.036,happy,0.983,flattered,1.0,Confidence,Uncertainty
51,0.294,-0.011,0.082,sweet,0.964,couple,1.0,Confidence and Assurance,Uncertainty and Hesitation
52,0.027,0.017,-0.071,lottery,0.917,ass,0.997,Cautious Optimism,Lack of Confidence
53,-0.057,0.081,0.003,screamer,0.993,abrasive,0.997,Confidence,Uncertainty
54,0.021,-0.033,-0.001,dialogue,0.999,captain,1.0,Confidence,Uncertainty
55,0.268,0.035,0.093,puppy,0.987,cake,1.0,Confidence,Uncertainty
56,-0.075,-0.141,0.011,drain,0.999,carbon,1.0,Confidence,Uncertainty
57,-0.1,0.024,-0.075,genocide,1.0,choppers,1.0,Optimism,Uncertainty
58,0.01,-0.087,0.008,librarian,0.955,keyboard,1.0,Cautious Optimism,Uncertainty
59,0.043,-0.024,-0.002,deer,1.0,sporty,0.999,Confidence,Uncertainty
60,-0.038,0.038,-0.001,shotgun,1.0,uprising,0.999,Confidence,Uncertainty
61,0.067,0.025,0.089,weekend,0.988,brisk,1.0,Confidence,Uncertainty
62,0.032,0.124,-0.039,lust,0.894,blowtorch,0.999,Confidence,Uncertainty
63,0.211,0.137,0.076,bazaar,1.0,anticipate,0.999,Confidence,Cautiousness
